agent_id,rows,employee_code_unique,agent_name_unique,vendor_id_unique,team_unique,status_unique,joined_at_unique,updated_at_unique
AGT0000095,34,34,10,14,5,3,34,34
AGT0000096,15,15,7,12,5,3,15,15
AGT0000097,31,31,10,11,5,3,31,31
AGT0000098,37,37,9,13,5,3,37,37
AGT0000099,33,33,10,14,5,3,33,33
AGT0000100,37,37,10,14,5,3,37,37
AGT0000101,35,35,9,13,5,3,35,35
AGT0000102,33,32,10,14,5,3,33,33
AGT0000103,30,29,9,13,5,3,30,30
AGT0000104,32,32,10,11,5,3,32,32
AGT0000105,40,39,10,13,5,3,40,40
AGT0000106,26,24,9,10,5,3,26,26
AGT0000107,29,29,9,13,5,3,29,29
AGT0000108,40,40,10,14,5,3,40,40
AGT0000109,29,28,10,13,5,3,29,29
AGT0000110,22,22,8,12,5,3,22,22
AGT0000111,25,25,9,12,5,3,25,25
AGT0000112,14,14,9,7,5,3,14,14
AGT0000113,27,27,9,13,5,3,27,27
AGT0000114,34,34,10,13,5,3,34,34
AGT0000115,30,30,9,13,5,3,30,30
AGT0000116,25,25,10,11,5,3,25,25
AGT0000117,31,30,10,14,5,3,31,31
AGT0000118,30,29,10,14,5,3,30,30
AGT0000119,19,19,10,11,5,3,19,19
AGT0000120,31,31,8,14,5,3,31,31
AGT0000121,18,18,9,8,4,3,18,18
AGT0000122,36,35,10,13,5,3,36,36
AGT0000123,25,25,9,12,5,3,25,25
AGT0000124,30,30,9,15,5,3,30,30
AGT0000125,27,27,10,12,5,3,27,27
AGT0000126,29,28,10,13,5,3,29,29
AGT0000127,32,31,10,15,5,3,32,32
AGT0000128,24,24,8,13,5,3,24,24
AGT0000129,37,37,10,13,5,3,37,37
AGT0000130,26,25,9,12,5,3,26,26
AGT0000131,25,25,9,11,5,3,25,25
AGT0000132,33,33,9,14,5,3,33,33
AGT0000133,25,25,8,15,5,3,25,25
AGT0000134,28,28,10,12,5,3,28,28
AGT0000135,27,26,10,14,5,3,27,27
AGT0000136,36,36,10,13,5,3,36,36
AGT0000137,24,24,8,12,5,3,24,24
AGT0000138,38,37,9,15,5,3,38,38
AGT0000139,33,33,10,14,5,3,33,33
AGT0000140,34,33,10,15,5,3,34,34
AGT0000141,25,25,10,12,5,3,25,25
AGT0000142,23,23,9,12,5,3,23,23
AGT0000143,30,30,9,11,5,3,30,30
AGT0000144,32,31,9,13,5,3,32,32
AGT0000145,31,31,10,11,5,3,31,31
AGT0000146,25,25,10,13,5,3,25,25
AGT0000147,35,33,10,15,5,3,35,35
AGT0000148,19,19,10,11,5,3,19,19
AGT0000149,31,29,8,11,5,3,31,31
AGT0000150,26,26,10,11,5,3,26,26
AGT0000151,28,27,9,15,5,3,28,28
AGT0000152,35,35,10,14,5,3,35,35
AGT0000153,23,23,9,12,5,3,23,23
AGT0000154,33,33,10,14,5,3,33,33
AGT0000155,33,33,10,14,5,3,33,33
AGT0000156,29,29,9,12,5,3,29,29
AGT0000157,30,30,10,12,5,3,30,30
AGT0000158,40,40,10,14,5,3,40,40
AGT0000159,35,34,9,14,5,3,35,35
AGT0000160,27,27,10,14,5,3,27,27
AGT0000161,37,37,10,15,5,3,37,37
AGT0000162,40,40,9,15,5,3,40,40
AGT0000163,31,31,10,14,5,3,31,31
AGT0000164,30,30,9,14,5,3,30,30
AGT0000165,30,30,10,13,5,3,30,30
AGT0000166,35,34,10,14,5,3,35,35
AGT0000167,28,27,10,14,5,3,28,28
AGT0000168,36,36,10,15,5,3,36,36
AGT0000169,27,27,9,14,5,3,27,27
AGT0000170,22,22,9,11,5,3,22,22
AGT0000171,27,27,10,13,5,3,27,27
AGT0000172,35,35,9,15,5,3,35,35
AGT0000173,33,31,9,13,5,3,33,33
AGT0000174,32,31,9,13,5,3,32,32
AGT0000175,20,20,7,10,5,3,20,20
AGT0000176,35,35,9,15,5,3,35,35
AGT0000177,35,35,10,12,5,3,35,35
AGT0000178,38,37,10,13,5,3,38,38
AGT0000179,24,24,9,11,5,3,24,24
AGT0000180,41,38,10,15,5,3,41,41
AGT0000181,32,32,9,14,5,3,32,32
AGT0000182,32,30,10,12,5,3,32,32
AGT0000183,32,32,10,12,5,3,32,32
AGT0000184,32,32,10,14,5,3,32,32
AGT0000185,28,27,10,13,5,3,28,28
AGT0000186,34,33,9,14,5,3,34,34
AGT0000187,22,22,8,11,5,3,22,22
AGT0000188,29,29,9,13,5,3,29,29
AGT0000189,28,28,10,13,5,3,28,28
AGT0000190,19,19,9,11,5,3,19,19
AGT0000191,28,28,9,13,5,3,28,28
AGT0000192,18,18,8,11,5,3,18,18
AGT0000193,34,34,9,13,5,3,34,34
AGT0000194,23,23,9,11,5,3,23,23
AGT0000195,25,25,10,12,5,3,25,25
AGT0000196,24,24,10,13,5,3,24,24
AGT0000197,33,33,10,14,5,3,33,33
AGT0000198,28,28,9,13,5,3,28,28
AGT0000199,25,24,10,11,5,3,25,25
AGT0000200,34,33,10,15,5,3,34,34
AGT0000201,32,30,10,13,5,3,32,32
AGT0000202,35,35,10,14,5,3,35,35
AGT0000203,28,28,10,11,5,3,28,28
AGT0000204,23,23,8,12,5,3,23,23
AGT0000205,26,26,9,14,5,3,26,26
AGT0000206,30,30,10,12,5,3,30,30
AGT0000207,40,40,10,13,5,3,40,40
AGT0000208,38,38,10,12,5,3,38,38
AGT0000209,27,27,8,12,5,3,27,27
AGT0000210,33,33,10,14,5,3,33,33
AGT0000211,26,25,9,14,5,3,26,26
AGT0000212,33,33,10,12,5,3,33,33
AGT0000213,36,35,10,13,5,3,36,36
AGT0000214,30,30,10,13,5,3,30,30
AGT0000215,27,27,10,13,5,3,27,27
AGT0000216,22,22,9,10,5,3,22,22
AGT0000217,32,31,10,13,5,3,32,32
AGT0000218,37,37,10,14,5,3,37,37
AGT0000219,29,29,10,15,5,3,29,29
AGT0000220,25,24,10,12,5,3,25,25
AGT0000221,35,34,10,15,5,3,35,35
AGT0000222,25,24,10,12,5,3,25,25
AGT0000223,33,33,10,15,5,3,33,33
AGT0000224,37,37,10,15,5,3,37,37
AGT0000225,34,34,10,14,5,3,34,34
AGT0000226,32,31,10,13,5,3,32,32
AGT0000227,29,29,10,13,5,3,29,29
AGT0000228,20,20,10,13,5,3,20,20
AGT0000229,32,32,9,13,5,3,32,32
AGT0000230,32,32,9,14,5,3,32,32
AGT0000231,23,23,8,13,5,3,23,23
AGT0000232,35,31,9,15,5,3,35,35
AGT0000233,38,37,10,15,5,3,38,38
AGT0000234,22,22,9,12,5,3,22,22
AGT0000235,30,29,10,14,5,3,30,30
AGT0000236,34,34,10,12,5,3,34,34
AGT0000237,22,22,10,13,5,3,22,22
AGT0000238,30,30,10,12,5,3,30,30
AGT0000239,31,31,9,14,5,3,31,31
AGT0000240,34,34,10,15,5,3,34,34
AGT0000241,21,21,9,12,5,3,21,21
AGT0000242,29,29,9,14,5,3,29,29
AGT0000243,38,38,10,14,5,3,38,38
AGT0000244,25,25,9,13,5,3,25,25
AGT0000245,33,33,9,14,5,3,33,33
AGT0000246,31,31,9,14,5,3,31,31
AGT0000247,28,28,10,13,5,3,28,28
AGT0000248,32,31,10,12,5,3,32,32
AGT0000249,32,31,9,12,5,3,32,32
AGT0000250,40,40,9,14,5,3,40,40
AGT0000251,26,26,10,13,5,3,26,26
AGT0000252,32,32,10,14,5,3,32,32
AGT0000253,30,29,10,13,5,3,30,30
AGT0000254,34,33,10,14,5,3,34,34
AGT0000255,29,29,9,14,5,3,29,29
AGT0000256,25,25,9,11,5,3,25,25
AGT0000257,27,27,10,15,5,3,27,27
AGT0000258,24,23,10,12,5,3,24,24
AGT0000259,24,24,10,14,5,3,24,24
AGT0000260,28,27,10,14,5,3,28,28
AGT0000261,30,30,8,15,5,3,30,30
AGT0000262,40,38,10,14,5,3,40,40
AGT0000263,34,34,10,14,5,3,34,34
AGT0000264,31,31,9,12,5,3,31,31
AGT0000265,33,32,10,15,5,3,33,33
AGT0000266,37,36,10,14,5,3,37,37
AGT0000267,32,31,9,13,5,3,32,32
AGT0000268,30,28,10,13,5,3,30,30
AGT0000269,34,34,10,12,5,3,34,34
AGT0000270,31,31,9,13,5,3,31,31
AGT0000271,18,18,7,10,5,3,18,18
AGT0000272,27,27,9,13,5,3,27,27
AGT0000273,32,31,7,14,5,3,32,32
AGT0000274,33,33,8,12,5,3,33,33
AGT0000275,31,30,9,13,5,3,31,31
AGT0000276,23,21,8,11,5,3,23,23
AGT0000277,25,25,10,13,5,3,25,25
AGT0000278,42,41,10,15,5,3,42,42
AGT0000279,25,25,9,13,5,3,25,25
AGT0000280,44,42,10,14,5,3,44,44
AGT0000281,36,35,10,12,5,3,36,36
AGT0000282,20,20,9,11,5,3,20,20
AGT0000283,29,28,10,14,5,3,29,29
AGT0000284,29,29,10,13,5,3,29,29
AGT0000285,33,33,10,15,5,3,33,33
AGT0000286,33,32,10,14,5,3,33,33
AGT0000287,39,38,10,13,5,3,39,39
AGT0000288,24,24,9,13,5,3,24,24
AGT0000289,32,31,9,14,5,3,32,32
AGT0000290,35,35,10,12,5,3,35,35
AGT0000291,24,23,10,13,5,3,24,24
AGT0000292,26,26,9,13,5,3,26,26
AGT0000293,20,20,8,12,5,3,20,20
AGT0000294,28,28,10,12,5,3,28,28
AGT0000295,34,34,9,13,5,3,34,34
AGT0000296,29,29,10,11,5,3,29,29
AGT0000297,33,33,10,14,5,3,33,33
AGT0000298,25,25,9,13,5,3,25,25
AGT0000299,27,27,10,13,5,3,27,27
AGT0000300,25,25,9,11,5,3,25,25
AGT0000301,23,23,10,12,5,3,23,23
AGT0000302,27,27,10,13,5,3,27,27
AGT0000303,38,38,10,13,5,3,38,38
AGT0000304,39,38,10,15,5,3,39,39
AGT0000305,26,26,10,10,5,3,26,26
AGT0000306,33,32,10,14,5,3,33,33
AGT0000307,35,34,10,15,5,3,35,35
AGT0000308,32,29,9,12,5,3,32,32
AGT0000309,36,36,10,15,5,3,36,36
AGT0000310,38,38,10,13,5,3,38,38
AGT0000311,24,23,10,11,5,3,24,24
AGT0000312,32,31,9,14,5,3,32,32
AGT0000313,28,27,9,13,5,3,28,28
AGT0000314,38,37,9,13,5,3,38,38
AGT0000315,26,26,10,13,5,3,26,26
AGT0000316,25,25,9,14,5,3,25,25
AGT0000317,24,24,7,12,5,3,24,24
AGT0000318,28,28,10,13,5,3,28,28
AGT0000319,24,24,10,11,5,3,24,24
AGT0000320,25,25,9,13,5,3,25,25
AGT0000321,31,31,10,13,5,3,31,31
AGT0000322,36,36,10,12,5,3,36,36
AGT0000323,27,26,10,13,5,3,27,27
AGT0000324,34,34,10,12,5,3,34,34
AGT0000325,35,35,10,14,5,3,35,35
AGT0000326,32,32,10,13,5,3,32,32
AGT0000327,38,37,10,13,5,3,38,38
AGT0000328,37,36,10,12,5,3,37,37
AGT0000329,26,26,10,12,5,3,26,26
AGT0000330,24,24,9,13,5,3,24,24
AGT0000331,29,29,10,13,5,3,29,29
AGT0000332,28,28,9,13,5,3,28,28
AGT0000333,24,24,7,12,5,3,24,24
AGT0000334,35,32,9,13,5,3,35,35
AGT0000335,25,24,9,11,5,3,25,25
AGT0000336,28,28,10,11,5,3,28,28
AGT0000337,25,25,9,12,5,3,25,25
AGT0000338,30,30,9,14,5,3,30,30
AGT0000339,35,34,10,13,5,3,35,35
AGT0000340,35,34,10,12,5,3,35,35
AGT0000341,22,21,8,13,5,3,22,22
AGT0000342,26,25,10,13,5,3,26,26
AGT0000343,36,36,10,15,5,3,36,36
AGT0000344,37,37,10,15,5,3,37,37
AGT0000345,30,29,8,12,5,3,30,30
AGT0000346,29,28,10,13,5,3,29,29
AGT0000347,30,29,10,13,5,3,30,30
AGT0000348,19,19,8,12,5,3,19,19
AGT0000349,35,35,10,15,5,3,35,35
AGT0000350,24,24,9,13,5,3,24,24
AGT0000351,30,30,10,12,5,3,30,30
AGT0000352,29,25,10,12,5,3,29,29
AGT0000353,25,24,8,14,5,3,25,25
AGT0000354,32,32,10,14,5,3,32,32
AGT0000355,22,22,8,14,5,3,22,22
AGT0000356,29,28,10,13,5,3,29,29
AGT0000357,30,28,9,14,5,3,30,30
AGT0000358,25,25,9,12,5,3,25,25
AGT0000359,25,25,10,13,5,3,25,25
AGT0000360,28,28,10,13,5,3,28,28
AGT0000361,29,29,10,12,5,3,29,29
AGT0000362,26,26,10,12,5,3,26,26
AGT0000363,24,24,8,8,5,3,24,24
AGT0000364,30,30,9,13,5,3,30,30
AGT0000365,37,36,10,13,5,3,37,37
AGT0000366,27,25,9,12,5,3,27,27
AGT0000367,48,48,10,15,5,3,48,48
AGT0000368,33,33,10,13,5,3,33,33
AGT0000369,38,38,10,15,5,3,38,38
AGT0000370,26,26,9,13,5,3,26,26
AGT0000371,30,29,10,13,5,3,30,30
AGT0000372,31,31,10,14,5,3,31,31
AGT0000373,35,34,10,14,5,3,35,35
AGT0000374,25,25,10,13,5,3,25,25
AGT0000375,32,32,9,13,5,3,32,32
AGT0000376,32,32,10,13,5,3,32,32
AGT0000377,36,35,10,14,5,3,36,36
AGT0000378,33,31,10,14,5,3,33,33
AGT0000379,22,22,10,13,5,3,22,22
AGT0000380,33,32,9,12,5,3,33,33
AGT0000381,33,33,10,12,5,3,33,33
AGT0000382,28,27,10,12,5,3,28,28
AGT0000383,34,33,10,13,5,3,34,34
AGT0000384,33,33,9,15,5,3,33,33
AGT0000385,33,33,10,13,5,3,33,33
AGT0000386,23,23,10,13,5,3,23,23
AGT0000387,31,30,10,14,5,3,31,31
AGT0000388,22,22,9,13,5,3,22,22
AGT0000389,25,25,9,13,5,3,25,25
AGT0000390,32,31,10,12,5,3,32,32
AGT0000391,28,27,8,12,5,3,28,28
AGT0000392,35,34,10,14,5,3,35,35
AGT0000393,27,27,10,14,5,3,27,27
AGT0000394,31,31,8,13,5,3,31,31
AGT0000395,28,28,9,12,5,3,28,28
AGT0000396,31,30,9,12,5,3,31,31
AGT0000397,34,34,9,13,5,3,34,34
AGT0000398,23,23,7,13,5,3,23,23
AGT0000399,32,32,10,13,5,3,32,32
AGT0000400,20,20,9,11,5,3,20,20
AGT0000401,24,24,9,13,5,3,24,24
AGT0000402,27,26,10,11,5,3,27,27
AGT0000403,29,29,9,12,5,3,29,29
AGT0000404,28,28,10,14,5,3,28,28
AGT0000405,28,28,9,14,5,3,28,28
AGT0000406,39,37,10,14,5,3,39,39
AGT0000407,26,24,10,14,5,3,26,26
AGT0000408,37,37,10,14,5,3,37,37
AGT0000409,24,24,9,11,5,3,24,24
AGT0000410,29,29,10,14,5,3,29,29
AGT0000411,27,27,10,12,5,3,27,27
AGT0000412,33,33,9,14,5,3,33,33
AGT0000413,25,24,10,13,4,3,25,25
AGT0000414,30,29,10,11,5,3,30,30
AGT0000415,28,28,10,10,5,3,28,28
AGT0000416,22,22,9,12,5,3,22,22
AGT0000417,23,23,8,12,5,3,23,23
AGT0000418,31,31,9,14,5,3,31,31
AGT0000419,18,18,8,12,5,3,18,18
AGT0000420,32,31,9,14,5,3,32,32
AGT0000421,20,19,9,10,5,3,20,20
AGT0000422,28,28,9,12,5,3,28,28
AGT0000423,31,30,10,13,5,3,31,31
AGT0000424,27,27,10,13,5,3,27,27
AGT0000425,35,34,10,13,5,3,35,35
AGT0000426,32,32,10,15,5,3,32,32
AGT0000427,33,33,10,12,5,3,33,33
AGT0000428,33,32,9,13,5,3,33,33
AGT0000429,24,24,10,10,5,3,24,24
AGT0000430,25,24,9,13,5,3,25,25
AGT0000431,35,35,10,14,5,3,35,35
AGT0000432,26,26,10,13,5,3,26,26
AGT0000433,26,26,10,13,5,3,26,26
AGT0000434,31,31,9,13,5,3,31,31
AGT0000435,42,42,10,14,5,3,42,42
AGT0000436,18,18,8,10,5,3,18,18
AGT0000437,29,29,10,13,5,3,29,29
AGT0000438,27,27,10,14,5,3,27,27
AGT0000439,32,32,10,12,5,3,32,32
AGT0000440,45,44,10,13,5,3,45,45
AGT0000441,21,21,9,12,5,3,21,21
AGT0000442,37,35,10,13,5,3,37,37
AGT0000443,41,41,10,14,5,3,41,41
AGT0000444,22,22,9,11,5,3,22,22
AGT0000445,31,31,10,13,5,3,31,31
AGT0000446,34,33,7,14,5,3,34,34
AGT0000447,26,26,8,13,5,3,26,26
AGT0000448,28,27,9,12,5,3,28,28
AGT0000449,31,30,10,13,5,3,31,31
AGT0000450,26,25,9,13,5,3,26,26
AGT0000451,34,33,10,14,5,3,34,34
AGT0000452,26,26,10,14,5,3,26,26
AGT0000453,28,27,10,12,5,3,28,28
AGT0000454,29,29,9,13,5,3,29,29
AGT0000455,28,28,10,12,5,3,28,28
AGT0000456,40,40,10,15,5,3,40,40
AGT0000457,36,35,9,13,5,3,36,36
AGT0000458,36,35,10,15,5,3,36,36
AGT0000459,39,38,10,13,5,3,39,39
AGT0000460,31,30,10,11,4,3,31,31
AGT0000461,27,27,10,9,5,3,27,27
AGT0000462,28,27,9,11,5,3,28,28
AGT0000463,33,33,9,14,5,3,33,33
AGT0000464,24,23,10,13,5,3,24,24
AGT0000465,24,24,8,13,5,3,24,24
AGT0000466,25,25,8,13,5,3,25,25
AGT0000467,26,26,9,12,5,3,26,26
AGT0000468,32,32,10,14,5,3,32,32
AGT0000469,37,37,9,14,5,3,37,37
AGT0000470,38,38,10,14,5,3,38,38
AGT0000471,29,29,9,14,5,3,29,29
AGT0000472,29,29,10,11,5,3,29,29
AGT0000473,31,31,10,15,5,3,31,31
AGT0000474,42,40,10,15,5,3,42,42
AGT0000475,30,29,9,13,5,3,30,30
AGT0000476,32,31,10,11,5,3,32,32
AGT0000477,36,34,10,12,5,3,36,36
AGT0000478,26,26,9,13,5,3,26,26
AGT0000479,39,39,10,15,5,3,39,39
AGT0000480,32,31,10,14,5,3,32,32
AGT0000481,31,31,10,14,5,3,31,31
AGT0000482,24,24,10,13,5,3,24,24
AGT0000483,31,31,10,13,5,3,31,31
AGT0000484,26,26,9,11,5,3,26,26
AGT0000485,31,29,10,14,5,3,31,31
AGT0000486,33,32,8,12,5,3,33,33
AGT0000487,37,36,9,13,5,3,37,37
AGT0000488,35,34,8,14,5,3,35,35
AGT0000489,34,34,10,14,5,3,34,34
AGT0000490,29,29,9,14,5,3,29,29
AGT0000491,24,24,9,12,5,3,24,24
AGT0000492,31,29,10,13,5,3,31,31
AGT0000493,21,20,9,11,5,3,21,21
AGT0000494,29,29,10,12,5,3,29,29
AGT0000495,25,25,8,14,5,3,25,25
AGT0000496,43,43,10,15,5,3,43,43
AGT0000497,32,30,10,11,5,3,32,32
AGT0000498,28,28,10,13,5,3,28,28
AGT0000499,23,23,10,12,5,3,23,23
AGT0000500,39,38,10,14,5,3,39,39
AGT0000501,26,26,10,10,5,3,26,26
AGT0000502,28,28,10,13,5,3,28,28
AGT0000503,24,24,10,11,5,3,24,24
AGT0000504,29,29,8,13,5,3,29,29
AGT0000505,22,22,9,9,5,3,22,22
AGT0000506,20,19,9,13,5,3,20,20
AGT0000507,31,30,9,13,5,3,31,31
AGT0000508,27,27,8,14,5,3,27,27
AGT0000509,27,27,9,14,5,3,27,27
AGT0000510,24,23,10,13,5,3,24,24
AGT0000511,28,28,9,13,5,3,28,28
AGT0000512,28,28,10,13,5,3,28,28
AGT0000513,34,34,10,15,5,3,34,34
AGT0000514,27,27,10,14,5,3,27,27
AGT0000515,30,30,9,13,5,3,30,30
AGT0000516,38,37,8,13,5,3,38,38
AGT0000517,34,33,10,13,5,3,34,34
AGT0000518,31,31,10,14,5,3,31,31
AGT0000519,32,32,9,13,5,3,32,32
AGT0000520,17,17,10,12,5,3,17,17
AGT0000521,34,33,10,13,5,3,34,34
AGT0000522,30,28,9,13,5,3,30,30
AGT0000523,31,31,8,14,5,3,31,31
AGT0000524,21,21,10,12,5,3,21,21
AGT0000525,34,34,10,14,5,3,34,34
AGT0000526,34,32,10,13,5,3,34,34
AGT0000527,38,37,10,15,5,3,38,38
AGT0000528,27,27,10,12,5,3,27,27
AGT0000529,31,31,9,13,5,3,31,31
AGT0000530,36,35,10,14,5,3,36,36
AGT0000531,43,43,10,14,5,3,43,43
AGT0000532,22,22,9,10,5,3,22,22
AGT0000533,48,47,10,15,5,3,48,48
AGT0000534,33,32,10,13,5,3,33,33
AGT0000535,32,32,10,13,5,3,32,32
AGT0000536,34,34,10,14,5,3,34,34
AGT0000537,29,29,10,14,5,3,29,29
AGT0000538,29,29,7,12,5,3,29,29
AGT0000539,32,31,10,14,5,3,32,32
AGT0000540,46,45,10,15,5,3,46,46
AGT0000541,27,26,10,15,5,3,27,27
AGT0000542,30,29,10,14,5,3,30,30
AGT0000543,45,45,10,15,5,3,45,45
AGT0000544,43,42,10,15,5,3,43,43
AGT0000545,39,39,9,14,5,3,39,39
AGT0000546,38,36,9,14,5,3,38,38
AGT0000547,30,30,9,15,5,3,30,30
AGT0000548,30,30,10,13,5,3,30,30
AGT0000549,25,24,9,13,5,3,25,25
AGT0000550,27,27,10,14,5,3,27,27
AGT0000551,34,33,10,14,5,3,34,34
AGT0000552,20,20,8,13,5,3,20,20
AGT0000553,30,30,10,14,5,3,30,30
AGT0000554,29,29,10,14,5,3,29,29
AGT0000555,41,41,10,14,5,3,41,41
AGT0000556,30,29,10,11,5,3,30,30
AGT0000557,31,31,10,13,5,3,31,31
AGT0000558,25,24,10,13,5,3,25,25
AGT0000559,37,36,10,14,5,3,37,37
AGT0000560,34,34,10,13,5,3,34,34
AGT0000561,37,35,10,15,5,3,37,37
AGT0000562,28,28,9,12,5,3,28,28
AGT0000563,45,45,10,15,5,3,45,45
AGT0000564,26,26,10,12,5,3,26,26
AGT0000565,24,24,9,12,5,3,24,24
AGT0000566,27,27,10,14,5,3,27,27
AGT0000567,24,24,8,13,5,3,24,24
AGT0000568,30,30,10,12,5,3,30,30
AGT0000569,30,29,9,12,5,3,30,30
AGT0000570,35,34,9,14,5,3,35,35
AGT0000571,30,29,10,13,5,3,30,30
AGT0000572,18,18,6,11,5,3,18,18
AGT0000573,26,26,9,10,5,3,26,26
AGT0000574,31,31,9,14,5,3,31,31
AGT0000575,31,30,10,12,5,3,31,31
AGT0000576,36,36,10,15,5,3,36,36
AGT0000577,30,30,8,15,5,3,30,30
AGT0000578,19,19,8,14,5,3,19,19
AGT0000579,33,33,10,13,5,3,33,33
AGT0000580,32,32,10,11,5,3,32,32
AGT0000581,32,32,10,13,5,3,32,32
AGT0000582,31,30,9,12,5,3,31,31
AGT0000583,31,31,10,12,4,3,31,31
AGT0000584,24,24,10,13,5,3,24,24
AGT0000585,29,27,9,12,5,3,29,29
AGT0000586,30,29,10,13,5,3,30,30
AGT0000587,33,33,9,13,5,3,33,33
AGT0000588,26,25,10,12,5,3,26,26
AGT0000589,30,30,10,13,5,3,30,30
AGT0000590,40,39,10,15,5,3,40,40
AGT0000591,33,33,10,14,5,3,33,33
AGT0000592,25,25,8,12,5,3,25,25
AGT0000593,35,34,10,13,5,3,35,35
AGT0000594,30,30,9,14,5,3,30,30
AGT0000595,29,29,10,11,5,3,29,29
AGT0000596,27,27,10,13,5,3,27,27
AGT0000597,37,37,10,13,5,3,37,37
AGT0000598,28,28,10,13,5,3,28,28
AGT0000599,25,25,10,12,5,3,25,25
AGT0000600,19,19,9,14,5,3,19,19
AGT0000601,22,22,10,12,5,3,22,22
AGT0000602,24,24,8,13,5,3,24,24
AGT0000603,35,34,10,15,5,3,35,35
