match_stratum,control_accounts,treatment_accounts,control_paying_accounts,treatment_paying_accounts,control_recovered_amount,treatment_recovered_amount,control_outstanding_amount,treatment_outstanding_amount,control_payment_rate_pct,treatment_payment_rate_pct,payment_rate_difference_pct_points,control_recovery_rate_pct,treatment_recovery_rate_pct,recovery_rate_difference_pct_points
0|LOW|WRITEOFF|PERSONAL,16.0,9.0,3.0,4.0,188628.01,304547.06,6264516.86,2119511.13,18.75,44.44444444444444,25.694444444444443,3.0110543911921086,14.368740776558225,11.357686385366115
0|MEDIUM|ACTIVE|AUTO,22.0,19.0,8.0,11.0,335575.92000000004,1193083.78,7349746.76,5977220.05,36.36363636363637,57.89473684210527,21.5311004784689,4.565816088063421,19.96051291436058,15.39469682629716
0|MEDIUM|ACTIVE|BNPL,16.0,15.0,6.0,4.0,560832.4,305129.31,6022805.74,6018088.21,37.5,26.666666666666668,-10.833333333333332,9.311812869461733,5.070203349511888,-4.2416095199498445
0|MEDIUM|ACTIVE|CONSUMER,15.0,18.0,8.0,11.0,886985.91,1040136.1699999999,5317096.31,5993279.87,53.333333333333336,61.111111111111114,7.777777777777779,16.68177249924593,17.35504085511695,0.67326835587102
0|MEDIUM|ACTIVE|CREDIT_CARD,33.0,14.0,14.0,7.0,918819.23,613875.53,11353312.86,4987924.4,42.42424242424242,50.0,7.575757575757578,8.09296142306784,12.307234047091812,4.214272624023973
0|MEDIUM|ACTIVE|PERSONAL,25.0,14.0,12.0,5.0,1844525.01,396638.24,8359981.4799999995,5229433.5600000005,48.0,35.714285714285715,-12.285714285714285,22.063745169923514,7.584726633375564,-14.479018536547951
0|MEDIUM|CLOSED|AUTO,28.0,17.0,6.0,8.0,417145.39,782175.17,8969716.09,6381015.26,21.428571428571427,47.05882352941176,25.630252100840334,4.650597475042267,12.257848291057059,7.607250816014791
0|MEDIUM|CLOSED|BNPL,13.0,18.0,5.0,7.0,171218.51,780234.14,5769085.96,5984713.51,38.46153846153847,38.88888888888889,0.42735042735042583,2.967862000794317,13.037117628041647,10.06925562724733
0|MEDIUM|CLOSED|CONSUMER,16.0,18.0,4.0,5.0,281799.13,652552.49,4870021.95,5546152.22,25.0,27.77777777777778,2.7777777777777786,5.786403693724624,11.765859718866498,5.979456025141873
0|MEDIUM|CLOSED|CREDIT_CARD,22.0,21.0,13.0,12.0,1580886.1600000001,677235.77,8097083.88,6727628.78,59.09090909090909,57.14285714285714,-1.9480519480519547,19.524142066810356,10.066485416277681,-9.457656650532675
0|MEDIUM|CLOSED|PERSONAL,20.0,10.0,13.0,6.0,1602869.18,367530.71,7108912.14,3333677.72,65.0,60.0,-5.0,22.547320158608684,11.024782263595654,-11.52253789501303
0|MEDIUM|PAID|AUTO,23.0,14.0,11.0,4.0,1344829.5899999999,226956.15,9242212.56,5920611.149999999,47.82608695652174,28.57142857142857,-19.254658385093173,14.550948501448444,3.8333230176752955,-10.717625483773148
0|MEDIUM|PAID|BNPL,19.0,7.0,5.0,3.0,511622.73000000004,244326.8,4923157.04,2537360.6,26.31578947368421,42.857142857142854,16.541353383458645,10.392167583587787,9.629171352309955,-0.7629962312778318
0|MEDIUM|PAID|CONSUMER,20.0,12.0,13.0,4.0,1172020.91,322613.58,6928563.26,5104026.5,65.0,33.33333333333333,-31.66666666666667,16.915785654528324,6.320766163733673,-10.595019490794652
0|MEDIUM|PAID|CREDIT_CARD,19.0,18.0,11.0,7.0,908427.4,507932.23,7036091.4,4479727.29,57.89473684210527,38.88888888888889,-19.005847953216374,12.910966449355673,11.338463194709336,-1.5725032546463371
0|MEDIUM|PAID|PERSONAL,18.0,14.0,11.0,4.0,1009706.7100000001,349791.07,5340597.71,5616789.12,61.111111111111114,28.57142857142857,-32.539682539682545,18.906249165882222,6.227598411243183,-12.67865075463904
0|MEDIUM|WRITEOFF|AUTO,15.0,20.0,8.0,9.0,990462.61,969770.91,4138171.81,6716924.44,53.333333333333336,45.0,-8.333333333333336,23.934787038240444,14.43772248240446,-9.497064555835983
0|MEDIUM|WRITEOFF|BNPL,16.0,19.0,9.0,8.0,1265185.8699999999,937080.3099999999,4088784.66,5831005.03,56.25,42.10526315789473,-14.144736842105267,30.94283449009026,16.070648287538862,-14.872186202551397
0|MEDIUM|WRITEOFF|CONSUMER,11.0,14.0,7.0,7.0,471527.54000000004,751319.49,5128899.1899999995,4592209.21,63.63636363636363,50.0,-13.636363636363633,9.193542757076496,16.360741761588862,7.167199004512366
0|MEDIUM|WRITEOFF|CREDIT_CARD,17.0,17.0,8.0,8.0,905924.34,721116.59,5782253.0,6846263.17,47.05882352941176,47.05882352941176,0.0,15.667324484072212,10.532995476421336,-5.1343290076508765
0|MEDIUM|WRITEOFF|PERSONAL,16.0,12.0,8.0,7.0,779891.14,761576.01,5300956.92,3658839.41,50.0,58.333333333333336,8.333333333333336,14.712270855428871,20.814688065251815,6.102417209822944
0|NPA|ACTIVE|AUTO,14.0,15.0,6.0,8.0,411870.22,602260.7,5451091.74,5456027.149999999,42.857142857142854,53.333333333333336,10.476190476190482,7.555738183191904,11.038447636757086,3.4827094535651817
0|NPA|ACTIVE|BNPL,22.0,19.0,12.0,8.0,1439505.95,639886.79,9020397.57,7499610.47,54.54545454545454,42.10526315789473,-12.440191387559807,15.958342621033719,8.532267009862448,-7.426075611171271
0|NPA|ACTIVE|CONSUMER,19.0,16.0,13.0,7.0,829721.37,943528.9900000001,7631014.4399999995,4926696.34,68.42105263157895,43.75,-24.671052631578945,10.873015331366613,19.151352648618893,8.27833731725228
0|NPA|ACTIVE|CREDIT_CARD,19.0,14.0,9.0,7.0,859649.1799999999,584334.56,7790416.66,5461731.91,47.368421052631575,50.0,2.631578947368425,11.0347009347251,10.698704543335962,-0.3359963913891377
0|NPA|ACTIVE|PERSONAL,19.0,16.0,6.0,8.0,455722.61,626450.9299999999,5546608.26,5959555.19,31.57894736842105,50.0,18.42105263157895,8.216239341914513,10.51170615973438,2.295466817819868
0|NPA|CLOSED|AUTO,16.0,20.0,9.0,8.0,868944.28,862706.46,5531317.37,7362948.34,56.25,40.0,-16.25,15.709535755674784,11.716861509312178,-3.992674246362606
0|NPA|CLOSED|BNPL,22.0,12.0,12.0,7.0,1017306.13,736716.76,8455287.19,3727302.98,54.54545454545454,58.333333333333336,3.787878787878796,12.031597592606433,19.765411182108945,7.733813589502512
0|NPA|CLOSED|CONSUMER,14.0,13.0,6.0,4.0,537052.81,189068.85,6688957.28,4451259.86,42.857142857142854,30.76923076923077,-12.087912087912084,8.028946628285238,4.24753566285838,-3.7814109654268586
0|NPA|CLOSED|CREDIT_CARD,14.0,12.0,4.0,5.0,534936.9099999999,218014.0,5269280.19,3795768.27,28.57142857142857,41.66666666666667,13.095238095238102,10.151992126271804,5.743606682290961,-4.408385443980842
0|NPA|CLOSED|PERSONAL,16.0,16.0,5.0,6.0,319741.80000000005,501984.06,6241721.19,4523168.25,31.25,37.5,6.25,5.122654317085893,11.098062956203322,5.975408639117428
0|NPA|PAID|AUTO,23.0,15.0,8.0,10.0,911581.14,875171.91,9333903.08,3980878.1300000004,34.78260869565217,66.66666666666666,31.884057971014485,9.766344606183761,21.984393428291156,12.218048822107395
0|NPA|PAID|BNPL,15.0,15.0,6.0,6.0,609949.88,566430.38,6266872.32,6412368.12,40.0,40.0,0.0,9.732923360404444,8.833403968704156,-0.8995193917002879
0|NPA|PAID|CONSUMER,13.0,19.0,8.0,8.0,970219.89,584607.6,4493253.7,8762181.969999999,61.53846153846154,42.10526315789473,-19.433198380566807,21.59281346610809,6.671940870454213,-14.920872595653877
0|NPA|PAID|CREDIT_CARD,24.0,20.0,8.0,7.0,794689.63,801975.65,8413641.61,7208302.58,33.33333333333333,35.0,1.6666666666666714,9.44525173327415,11.125721223539426,1.680469490265276
0|NPA|PAID|PERSONAL,15.0,17.0,5.0,4.0,574265.94,238370.76,3837105.9,6884336.3100000005,33.33333333333333,23.52941176470588,-9.803921568627448,14.966121732527633,3.4625089371904902,-11.503612795337142
0|NPA|WRITEOFF|AUTO,12.0,13.0,5.0,4.0,670145.97,449443.02999999997,4265503.89,4350782.56,41.66666666666667,30.76923076923077,-10.897435897435901,15.710827777489145,10.330165293298409,-5.3806624841907364
0|NPA|WRITEOFF|BNPL,12.0,20.0,7.0,10.0,478595.12,904715.64,3606407.82,7026012.9799999995,58.333333333333336,50.0,-8.333333333333336,13.27068772826696,12.876657680185499,-0.39403004808146136
0|NPA|WRITEOFF|CONSUMER,13.0,17.0,8.0,8.0,590583.46,983738.17,5329816.11,5872607.4799999995,61.53846153846154,47.05882352941176,-14.47963800904978,11.080747399369468,16.751301246512053,5.670553847142585
0|NPA|WRITEOFF|CREDIT_CARD,16.0,13.0,5.0,6.0,462037.48,676957.02,3796584.31,5575034.46,31.25,46.15384615384615,14.903846153846153,12.169820087572347,12.142651760398266,-0.02716832717408124
0|NPA|WRITEOFF|PERSONAL,18.0,14.0,6.0,6.0,597054.76,470058.83999999997,5860411.16,4972471.7,33.33333333333333,42.857142857142854,9.523809523809526,10.187932957250052,9.453223031917908,-0.7347099253321439
1-30|HIGH|ACTIVE|AUTO,82.0,57.0,32.0,25.0,3087262.12,2084965.33,27479541.85,23218333.88,39.02439024390244,43.859649122807014,4.835258878904575,11.234765618918061,8.979823189621564,-2.254942429296497
1-30|HIGH|ACTIVE|BNPL,75.0,59.0,35.0,24.0,3662484.17,2828847.7,26168234.41,22350015.57,46.666666666666664,40.67796610169492,-5.988700564971744,13.995916241870749,12.657027871591769,-1.3388883702789798
1-30|HIGH|ACTIVE|CONSUMER,67.0,58.0,33.0,25.0,3142293.85,2232095.35,23267941.93,20333271.56,49.25373134328358,43.103448275862064,-6.150283067421519,13.50482075059915,10.977551464915368,-2.527269285683781
1-30|HIGH|ACTIVE|CREDIT_CARD,85.0,68.0,32.0,24.0,3137348.6999999997,2984306.9,30139725.18,24136755.22,37.64705882352941,35.294117647058826,-2.352941176470587,10.409347402019012,12.36415944396357,1.9548120419445585
1-30|HIGH|ACTIVE|PERSONAL,83.0,53.0,34.0,22.0,3369468.04,1986753.44,30582660.88,18825381.26,40.963855421686745,41.509433962264154,0.5455785405774094,11.01757644052325,10.55358939381183,-0.46398704671142
1-30|HIGH|CLOSED|AUTO,75.0,60.0,33.0,23.0,3905202.4299999997,2105796.8,27270087.11,20942540.18,44.0,38.333333333333336,-5.666666666666664,14.320461882822347,10.055116437169467,-4.26534544565288
1-30|HIGH|CLOSED|BNPL,62.0,68.0,28.0,34.0,2667064.04,4021670.04,21580862.52,25151617.05,45.16129032258064,50.0,4.838709677419359,12.35846823790433,15.989707667722303,3.631239429817974
1-30|HIGH|CLOSED|CONSUMER,63.0,69.0,32.0,31.0,3519697.71,2344647.05,20165721.21,26703497.08,50.79365079365079,44.927536231884055,-5.866114561766736,17.453864770552382,8.780299610106347,-8.673565160446035
1-30|HIGH|CLOSED|CREDIT_CARD,80.0,70.0,33.0,37.0,3273419.1,4404662.82,27189450.93,26668781.83,41.25,52.85714285714286,11.607142857142861,12.039298286778607,16.51617553466633,4.476877247887725
1-30|HIGH|CLOSED|PERSONAL,73.0,78.0,29.0,36.0,2673829.6,4335215.66,24829589.12,27335370.74,39.726027397260275,46.15384615384615,6.427818756585879,10.768722700474553,15.859362952250928,5.0906402517763745
1-30|HIGH|PAID|AUTO,80.0,64.0,33.0,25.0,3711683.93,3504283.88,27491981.65,22269114.4,41.25,39.0625,-2.1875,13.500969036184413,15.736072019101039,2.235102982916626
1-30|HIGH|PAID|BNPL,62.0,66.0,33.0,26.0,2976259.73,2448996.0300000003,21303657.94,24692658.75,53.2258064516129,39.39393939393939,-13.831867057673506,13.970651135980452,9.917911452123398,-4.0527396838570535
1-30|HIGH|PAID|CONSUMER,88.0,64.0,34.0,26.0,4060095.1399999997,2403768.4,33395052.68,22519342.55,38.63636363636363,40.625,1.9886363636363669,12.157774323355252,10.674238800102092,-1.4835355232531597
1-30|HIGH|PAID|CREDIT_CARD,73.0,67.0,30.0,24.0,2842874.46,2111358.23,30245463.23,21762539.73,41.0958904109589,35.82089552238806,-5.274994888570845,9.399341773612505,9.701800691439793,0.3024589178272876
1-30|HIGH|PAID|PERSONAL,69.0,66.0,29.0,25.0,2940381.1,2420222.9,22411720.93,22178607.759999998,42.028985507246375,37.878787878787875,-4.1501976284585,13.119836308795229,10.912420320471911,-2.2074159883233175
1-30|HIGH|WRITEOFF|AUTO,56.0,64.0,26.0,27.0,2108680.29,2937526.9,19097889.88,22677226.86,46.42857142857143,42.1875,-4.241071428571431,11.041430771931962,12.953642516058508,1.9122117441265463
1-30|HIGH|WRITEOFF|BNPL,73.0,70.0,33.0,21.0,3311852.32,2067356.23,24770797.64,22311724.89,45.20547945205479,30.0,-15.205479452054789,13.369986579083774,9.265783977672557,-4.104202601411217
1-30|HIGH|WRITEOFF|CONSUMER,61.0,62.0,22.0,31.0,1620692.5,2487777.15,17627511.52,17088037.55,36.0655737704918,50.0,13.934426229508198,9.194108301453545,14.558588970329128,5.364480668875583
1-30|HIGH|WRITEOFF|CREDIT_CARD,60.0,75.0,25.0,43.0,2778611.21,4365565.29,20342737.94,23607599.75,41.66666666666667,57.333333333333336,15.666666666666664,13.658983457366409,18.492203088117844,4.833219630751435
1-30|HIGH|WRITEOFF|PERSONAL,84.0,65.0,38.0,36.0,3704177.7,3398000.98,28797064.21,22975506.28,45.23809523809524,55.38461538461539,10.146520146520146,12.86303934660706,14.789667477133825,1.9266281305267654
1-30|LOW|ACTIVE|AUTO,69.0,57.0,27.0,28.0,2631323.95,3347178.49,25645624.79,19444389.61,39.130434782608695,49.122807017543856,9.99237223493516,10.260323043586103,17.21410935048632,6.953786306900218
1-30|LOW|ACTIVE|BNPL,58.0,63.0,25.0,29.0,3160708.64,3668618.8,20230174.97,23878249.14,43.103448275862064,46.03174603174603,2.9282977558839676,15.623733579601366,15.36385175684619,-0.259881822755176
1-30|LOW|ACTIVE|CONSUMER,68.0,67.0,36.0,32.0,3143237.78,3435623.84,22671096.34,23844828.43,52.94117647058824,47.76119402985074,-5.179982440737497,13.864516002493419,14.4082556521041,0.5437396496106803
1-30|LOW|ACTIVE|CREDIT_CARD,56.0,73.0,23.0,39.0,2281836.97,3102077.87,21363244.33,27198491.77,41.07142857142857,53.42465753424658,12.353228962818008,10.681135012792321,11.405330472852173,0.7241954600598515
1-30|LOW|ACTIVE|PERSONAL,80.0,55.0,30.0,25.0,2823818.07,2404738.42,28848350.62,20466052.05,37.5,45.45454545454545,7.954545454545453,9.788490535199964,11.749889104772407,1.9613985695724434
1-30|LOW|CLOSED|AUTO,79.0,56.0,28.0,25.0,3126599.9499999997,2584129.33,27720096.92,19828825.34,35.44303797468354,44.642857142857146,9.199819168173605,11.279181162401215,13.032185647362205,1.7530044849609894
1-30|LOW|CLOSED|BNPL,69.0,66.0,33.0,26.0,3539036.05,2816926.1,20763038.43,23559480.07,47.82608695652174,39.39393939393939,-8.432147562582351,17.044885130523742,11.956656478115564,-5.088228652408178
1-30|LOW|CLOSED|CONSUMER,71.0,56.0,33.0,27.0,3611206.94,2255141.26,25510211.09,21259810.4,46.478873239436616,48.214285714285715,1.7354124748490989,14.1559273157704,10.60753232305402,-3.5483949927163803
1-30|LOW|CLOSED|CREDIT_CARD,49.0,65.0,20.0,23.0,2157850.33,2360394.02,19424137.4,22432951.060000002,40.816326530612244,35.38461538461539,-5.431711145996857,11.109117926647286,10.52199513869933,-0.5871227879479566
1-30|LOW|CLOSED|PERSONAL,86.0,54.0,39.0,29.0,4508316.36,2275516.2399999998,29555421.52,19986992.45,45.348837209302324,53.70370370370371,8.354866494401385,15.253771146350411,11.38498573856218,-3.8687854077882307
1-30|LOW|PAID|AUTO,75.0,63.0,31.0,26.0,2760707.85,2540211.58,26558082.98,23876929.830000002,41.333333333333336,41.269841269841265,-0.06349206349207037,10.394981641103374,10.638769716567031,0.243788075463657
1-30|LOW|PAID|BNPL,90.0,60.0,38.0,28.0,3423047.4699999997,2136877.39,29180797.73,20012939.06,42.22222222222222,46.666666666666664,4.444444444444443,11.730479412085625,10.677479122849038,-1.0530002892365875
1-30|LOW|PAID|CONSUMER,72.0,60.0,30.0,24.0,3800684.84,1987829.41,22241869.2,20589952.86,41.66666666666667,40.0,-1.6666666666666714,17.087974062899352,9.65436600810168,-7.433608054797672
1-30|LOW|PAID|CREDIT_CARD,82.0,62.0,42.0,30.0,4105516.13,3040870.7199999997,27086459.76,20855253.67,51.21951219512195,48.38709677419355,-2.832415420928399,15.157079095522224,14.580837846025585,-0.5762412494966398
1-30|LOW|PAID|PERSONAL,79.0,51.0,30.0,22.0,2815810.79,2095155.8900000001,27193865.03,18154437.28,37.9746835443038,43.13725490196079,5.1625713576569865,10.354581031028967,11.5407371635151,1.1861561324861327
1-30|LOW|WRITEOFF|AUTO,66.0,52.0,27.0,28.0,2905718.38,2515516.33,26035745.72,17943481.48,40.909090909090914,53.84615384615385,12.937062937062933,11.16049607815881,14.019109573600987,2.858613495442178
1-30|LOW|WRITEOFF|BNPL,77.0,54.0,33.0,28.0,3293948.53,2821016.82,28844359.82,18874609.0,42.857142857142854,51.85185185185185,8.994708994708994,11.419731796980475,14.946094088624564,3.526362291644089
1-30|LOW|WRITEOFF|CONSUMER,70.0,52.0,34.0,28.0,3542673.32,2396253.13,24753936.71,17891203.13,48.57142857142857,53.84615384615385,5.274725274725277,14.311555214443302,13.393471152210882,-0.9180840622324205
1-30|LOW|WRITEOFF|CREDIT_CARD,73.0,65.0,32.0,32.0,2925021.9899999998,3652853.0500000003,26315041.36,22612918.9,43.83561643835616,49.23076923076923,5.3951527924130716,11.115399554135452,16.153832533313516,5.038432979178063
1-30|LOW|WRITEOFF|PERSONAL,80.0,61.0,24.0,27.0,2380087.04,2306682.19,30774102.04,20201281.12,30.0,44.26229508196721,14.26229508196721,7.734058452481819,11.418494581100111,3.684436128618292
1-30|MEDIUM|ACTIVE|AUTO,96.0,60.0,42.0,21.0,3851011.71,2353608.96,30333914.29,20783147.48,43.75,35.0,-8.75,12.695399852400651,11.324603081727252,-1.3707967706733992
1-30|MEDIUM|ACTIVE|BNPL,72.0,68.0,36.0,25.0,2902470.45,2337663.59,25806970.07,28827431.15,50.0,36.76470588235294,-13.235294117647058,11.246847042202967,8.109163726161565,-3.137683316041402
1-30|MEDIUM|ACTIVE|CONSUMER,74.0,59.0,35.0,26.0,3060770.1,2121227.52,26597658.33,20091487.02,47.2972972972973,44.06779661016949,-3.2295006871278105,11.50766756240229,10.557842323410068,-0.9498252389922222
1-30|MEDIUM|ACTIVE|CREDIT_CARD,71.0,63.0,35.0,24.0,3654434.53,2339323.54,23408498.990000002,22463412.169999998,49.29577464788733,38.095238095238095,-11.200536552649233,15.611571385081788,10.41392786766464,-5.1976435174171485
1-30|MEDIUM|ACTIVE|PERSONAL,95.0,50.0,39.0,22.0,4157584.33,2318978.62,35582669.83,17628005.85,41.05263157894737,44.0,2.94736842105263,11.684295613182774,13.155081974289223,1.4707863611064482
1-30|MEDIUM|CLOSED|AUTO,74.0,55.0,29.0,28.0,3173208.69,2699578.19,25789966.0,17709718.330000002,39.189189189189186,50.90909090909091,11.71990171990172,12.304043712194114,15.243484620683967,2.9394409084898534
