campaign_id,campaign_name,channel,strategy_version,call_volume,answered_calls,answer_rate_pct
CMP0000083,BOUNCE,WHATSAPP,v2,783,161,20.561941251596423
CMP0000107,DIGITAL_FOLLOWUP,SMS,legacy,696,143,20.545977011494255
CMP0000120,NPA_RECOVERY,SMS,v3,701,144,20.542082738944366
CMP0000118,30DPD_W1,FIELD,v3,732,149,20.3551912568306
CMP0000035,30DPD_W1,MIXED,legacy,782,159,20.33248081841432
CMP0000005,60DPD_INTENT,WHATSAPP,legacy,768,156,20.3125
CMP0000068,NPA_RECOVERY,VOICE,v1,744,151,20.29569892473118
CMP0000052,BOUNCE,SMS,v2,754,153,20.291777188328915
CMP0000030,30DPD_W1,SMS,v2,759,154,20.28985507246377
CMP0000082,DIGITAL_FOLLOWUP,MIXED,v2,730,148,20.273972602739725
CMP0000038,NPA_RECOVERY,FIELD,v2,760,154,20.263157894736842
CMP0000081,DIGITAL_FOLLOWUP,WHATSAPP,legacy,760,154,20.263157894736842
CMP0000098,DIGITAL_FOLLOWUP,WHATSAPP,legacy,773,156,20.18111254851229
CMP0000007,DIGITAL_FOLLOWUP,MIXED,v2,719,145,20.166898470097358
CMP0000071,30DPD_W1,MIXED,v3,715,144,20.13986013986014
CMP0000024,NPA_RECOVERY,SMS,legacy,747,150,20.080321285140563
CMP0000044,NPA_RECOVERY,SMS,v1,738,148,20.05420054200542
CMP0000085,60DPD_INTENT,MIXED,legacy,739,148,20.027063599458728
CMP0000046,BOUNCE,WHATSAPP,v3,780,156,20.0
CMP0000016,NPA_RECOVERY,MIXED,v1,747,149,19.946452476572958
CMP0000086,DIGITAL_FOLLOWUP,SMS,v3,788,157,19.923857868020303
CMP0000001,DIGITAL_FOLLOWUP,FIELD,legacy,733,146,19.918144611186904
CMP0000050,NPA_RECOVERY,SMS,v1,744,148,19.892473118279568
CMP0000102,NPA_RECOVERY,VOICE,legacy,729,145,19.89026063100137
CMP0000006,BOUNCE,MIXED,legacy,750,149,19.866666666666667
CMP0000099,BOUNCE,WHATSAPP,legacy,735,146,19.86394557823129
CMP0000116,DIGITAL_FOLLOWUP,VOICE,v1,816,162,19.852941176470587
CMP0000063,BOUNCE,WHATSAPP,v1,736,146,19.83695652173913
CMP0000021,NPA_RECOVERY,FIELD,legacy,736,146,19.83695652173913
CMP0000114,60DPD_INTENT,SMS,legacy,822,163,19.829683698296837
CMP0000097,NPA_RECOVERY,MIXED,v2,742,147,19.81132075471698
CMP0000073,60DPD_INTENT,SMS,v2,727,144,19.80742778541953
CMP0000027,BOUNCE,VOICE,legacy,758,150,19.788918205804748
CMP0000070,60DPD_INTENT,WHATSAPP,v1,766,151,19.712793733681462
CMP0000113,30DPD_W1,WHATSAPP,legacy,711,140,19.69057665260197
CMP0000109,NPA_RECOVERY,MIXED,v1,742,146,19.67654986522911
CMP0000041,30DPD_W1,SMS,legacy,784,154,19.642857142857142
CMP0000055,BOUNCE,MIXED,v3,756,148,19.576719576719576
CMP0000090,30DPD_W1,FIELD,v2,741,145,19.568151147098515
CMP0000096,DIGITAL_FOLLOWUP,WHATSAPP,legacy,778,152,19.53727506426735
CMP0000019,NPA_RECOVERY,WHATSAPP,v1,763,149,19.528178243774576
CMP0000072,30DPD_W1,WHATSAPP,v2,790,154,19.49367088607595
CMP0000101,BOUNCE,MIXED,v3,749,146,19.492656875834445
CMP0000053,DIGITAL_FOLLOWUP,VOICE,v1,740,144,19.45945945945946
CMP0000076,DIGITAL_FOLLOWUP,VOICE,v3,725,141,19.448275862068964
CMP0000054,BOUNCE,SMS,v3,761,148,19.44809461235217
CMP0000095,DIGITAL_FOLLOWUP,VOICE,legacy,761,148,19.44809461235217
CMP0000037,BOUNCE,SMS,v2,719,139,19.33240611961057
CMP0000092,NPA_RECOVERY,SMS,v3,807,156,19.33085501858736
CMP0000088,30DPD_W1,MIXED,v1,704,136,19.318181818181817
CMP0000047,BOUNCE,WHATSAPP,v2,773,149,19.27554980595084
CMP0000078,60DPD_INTENT,SMS,v2,696,134,19.25287356321839
CMP0000025,30DPD_W1,FIELD,legacy,724,139,19.19889502762431
CMP0000056,60DPD_INTENT,WHATSAPP,v1,741,142,19.163292847503374
CMP0000108,NPA_RECOVERY,VOICE,v3,710,136,19.154929577464788
CMP0000104,30DPD_W1,FIELD,legacy,757,145,19.154557463672393
CMP0000106,NPA_RECOVERY,SMS,v3,778,149,19.151670951156813
CMP0000034,DIGITAL_FOLLOWUP,VOICE,v3,768,147,19.140625
CMP0000039,DIGITAL_FOLLOWUP,SMS,v3,732,140,19.12568306010929
CMP0000018,60DPD_INTENT,SMS,legacy,738,141,19.10569105691057
CMP0000002,BOUNCE,MIXED,v2,755,144,19.072847682119207
CMP0000014,NPA_RECOVERY,SMS,v1,788,150,19.035532994923855
CMP0000028,30DPD_W1,SMS,legacy,764,145,18.979057591623036
CMP0000017,NPA_RECOVERY,MIXED,v3,700,132,18.857142857142858
CMP0000080,NPA_RECOVERY,WHATSAPP,legacy,760,143,18.815789473684212
CMP0000026,30DPD_W1,FIELD,legacy,739,139,18.80920162381597
CMP0000100,BOUNCE,WHATSAPP,v3,792,148,18.68686868686869
CMP0000119,30DPD_W1,SMS,v2,760,142,18.684210526315788
CMP0000060,30DPD_W1,SMS,v3,795,148,18.61635220125786
CMP0000004,BOUNCE,VOICE,legacy,738,137,18.56368563685637
CMP0000077,BOUNCE,FIELD,v1,722,134,18.559556786703602
CMP0000048,NPA_RECOVERY,WHATSAPP,v2,788,146,18.527918781725887
CMP0000117,BOUNCE,VOICE,v3,753,139,18.459495351925632
CMP0000110,DIGITAL_FOLLOWUP,VOICE,v2,743,137,18.438761776581426
CMP0000012,NPA_RECOVERY,WHATSAPP,v1,740,136,18.37837837837838
CMP0000042,BOUNCE,FIELD,v3,730,134,18.356164383561644
CMP0000029,60DPD_INTENT,MIXED,v1,752,137,18.21808510638298
CMP0000074,BOUNCE,MIXED,legacy,742,135,18.194070080862534
CMP0000015,DIGITAL_FOLLOWUP,FIELD,v3,782,142,18.15856777493606
CMP0000069,BOUNCE,SMS,v3,736,133,18.070652173913043
CMP0000040,DIGITAL_FOLLOWUP,FIELD,v1,771,139,18.028534370946822
CMP0000013,30DPD_W1,VOICE,v2,758,136,17.941952506596305
CMP0000033,DIGITAL_FOLLOWUP,WHATSAPP,legacy,763,136,17.82437745740498
CMP0000084,BOUNCE,FIELD,legacy,743,132,17.765814266487215
CMP0000022,60DPD_INTENT,VOICE,v3,760,135,17.763157894736842
CMP0000023,BOUNCE,VOICE,v2,713,125,17.53155680224404
CMP0000049,60DPD_INTENT,VOICE,v1,773,132,17.076326002587322
CMP0000103,NPA_RECOVERY,WHATSAPP,legacy,797,134,16.813048933500628
