campaign_id,campaign_name,channel,strategy_version,call_volume,answered_calls,unique_accounts,accounts_with_successful_payment,successful_payment_amount,answer_rate_pct,payment_account_rate_pct,payment_per_call
CMP0000024,NPA_RECOVERY,SMS,legacy,747,150,734,331,32783992.79,20.080321285140563,45.095367847411445,43887.54054886211
CMP0000009,60DPD_INTENT,WHATSAPP,v1,735,158,714,333,32760751.06,21.496598639455783,46.63865546218487,44572.450421768706
CMP0000050,NPA_RECOVERY,SMS,v1,744,148,728,325,32728432.43,19.892473118279568,44.642857142857146,43989.82853494624
CMP0000074,BOUNCE,MIXED,legacy,742,135,735,337,32708479.96,18.194070080862534,45.85034013605443,44081.50938005391
CMP0000032,NPA_RECOVERY,MIXED,v2,713,157,702,312,32693265.330000002,22.019635343618514,44.44444444444444,45853.10705469846
CMP0000064,60DPD_INTENT,FIELD,v2,764,168,748,343,32576659.13,21.98952879581152,45.855614973262036,42639.606191099476
CMP0000054,BOUNCE,SMS,v3,761,148,749,323,32571295.98,19.44809461235217,43.1241655540721,42800.651747700394
CMP0000047,BOUNCE,WHATSAPP,v2,773,149,756,324,32547495.99,19.27554980595084,42.857142857142854,42105.42818887451
CMP0000102,NPA_RECOVERY,VOICE,legacy,729,145,711,325,32473797.08,19.89026063100137,45.71026722925457,44545.675006858706
CMP0000010,30DPD_W1,FIELD,v1,727,164,720,334,32418811.74,22.558459422283356,46.38888888888889,44592.58836313617
CMP0000004,BOUNCE,VOICE,legacy,738,137,727,339,32405854.68,18.56368563685637,46.62998624484182,43910.37219512195
CMP0000008,NPA_RECOVERY,SMS,v2,744,153,731,324,32404083.45,20.56451612903226,44.322845417236664,43553.87560483871
CMP0000035,30DPD_W1,MIXED,legacy,782,159,776,338,32400190.73,20.33248081841432,43.55670103092783,41432.46896419438
CMP0000111,30DPD_W1,FIELD,v1,747,156,734,321,32384336.82,20.883534136546185,43.73297002724796,43352.52586345382
CMP0000063,BOUNCE,WHATSAPP,v1,736,146,725,306,32258717.18,19.83695652173913,42.206896551724135,43829.77877717391
CMP0000033,DIGITAL_FOLLOWUP,WHATSAPP,legacy,763,136,751,338,32140016.92,17.82437745740498,45.00665778961385,42123.220078636965
CMP0000091,DIGITAL_FOLLOWUP,VOICE,v3,738,155,731,321,32120985.24,21.00271002710027,43.912448700410394,43524.370243902435
CMP0000090,30DPD_W1,FIELD,v2,741,145,731,329,32063326.99,19.568151147098515,45.00683994528043,43270.34681511471
CMP0000039,DIGITAL_FOLLOWUP,SMS,v3,732,140,722,317,31929026.56,19.12568306010929,43.905817174515235,43618.888743169395
CMP0000081,DIGITAL_FOLLOWUP,WHATSAPP,legacy,760,154,751,328,31824285.69,20.263157894736842,43.67509986684421,41874.06011842105
CMP0000020,NPA_RECOVERY,WHATSAPP,v3,727,162,720,327,31749208.93,22.283356258596974,45.416666666666664,43671.539105914715
CMP0000051,DIGITAL_FOLLOWUP,WHATSAPP,v1,727,156,718,316,31674059.86,21.458046767537827,44.01114206128134,43568.17037138927
CMP0000119,30DPD_W1,SMS,v2,760,142,755,318,31667176.49,18.684210526315788,42.11920529801325,41667.3374868421
CMP0000077,BOUNCE,FIELD,v1,722,134,714,309,31626639.28,18.559556786703602,43.27731092436975,43804.20952908587
CMP0000029,60DPD_INTENT,MIXED,v1,752,137,743,302,31606040.88,18.21808510638298,40.646029609690444,42029.30968085106
CMP0000007,DIGITAL_FOLLOWUP,MIXED,v2,719,145,707,316,31556534.94,20.166898470097358,44.6958981612447,43889.478358831715
CMP0000067,30DPD_W1,MIXED,v2,735,157,728,315,31499685.29,21.360544217687075,43.269230769230774,42856.71468027211
CMP0000089,DIGITAL_FOLLOWUP,WHATSAPP,legacy,754,160,743,321,31473326.96,21.220159151193634,43.203230148048455,41741.81294429708
CMP0000046,BOUNCE,WHATSAPP,v3,780,156,772,301,31459908.46,20.0,38.98963730569948,40333.21597435897
CMP0000025,30DPD_W1,FIELD,legacy,724,139,713,320,31430148.15,19.19889502762431,44.88078541374474,43411.80683701657
CMP0000037,BOUNCE,SMS,v2,719,139,716,310,31298654.24,19.33240611961057,43.296089385474865,43530.81257301808
CMP0000087,60DPD_INTENT,SMS,legacy,728,159,717,322,31257273.59,21.84065934065934,44.90934449093445,42935.81537087912
CMP0000012,NPA_RECOVERY,WHATSAPP,v1,740,136,734,323,31228808.46,18.37837837837838,44.00544959128065,42201.09251351351
CMP0000069,BOUNCE,SMS,v3,736,133,725,325,31199219.490000002,18.070652173913043,44.827586206896555,42390.24387228261
CMP0000018,60DPD_INTENT,SMS,legacy,738,141,722,322,31171286.68,19.10569105691057,44.59833795013851,42237.515826558265
CMP0000022,60DPD_INTENT,VOICE,v3,760,135,746,308,31165876.68,17.763157894736842,41.28686327077748,41007.73247368421
CMP0000068,NPA_RECOVERY,VOICE,v1,744,151,736,317,31046530.169999998,20.29569892473118,43.07065217391305,41729.20721774193
CMP0000078,60DPD_INTENT,SMS,v2,696,134,690,310,31016877.38,19.25287356321839,44.927536231884055,44564.47899425287
CMP0000059,30DPD_W1,MIXED,legacy,753,156,743,321,30844728.52,20.717131474103585,43.203230148048455,40962.45487383798
CMP0000076,DIGITAL_FOLLOWUP,VOICE,v3,725,141,713,334,30720866.17,19.448275862068964,46.84431977559607,42373.60851034483
CMP0000088,30DPD_W1,MIXED,v1,704,136,700,304,30631574.68,19.318181818181817,43.42857142857143,43510.759488636366
CMP0000005,60DPD_INTENT,WHATSAPP,legacy,768,156,759,318,30311943.28,20.3125,41.89723320158103,39468.676145833335
CMP0000065,30DPD_W1,WHATSAPP,v3,775,176,764,327,30299102.86,22.70967741935484,42.80104712041885,39095.61659354839
CMP0000043,NPA_RECOVERY,WHATSAPP,legacy,724,158,715,305,30218376.96,21.823204419889503,42.65734265734265,41738.08972375691
CMP0000044,NPA_RECOVERY,SMS,v1,738,148,727,325,30046146.03,20.05420054200542,44.70426409903714,40712.935000000005
CMP0000113,30DPD_W1,WHATSAPP,legacy,711,140,705,302,29995774.58,19.69057665260197,42.836879432624116,42188.14990154711
CMP0000017,NPA_RECOVERY,MIXED,v3,700,132,693,298,29969932.61,18.857142857142858,43.001443001443,42814.18944285714
CMP0000108,NPA_RECOVERY,VOICE,v3,710,136,695,310,29937502.49,19.154929577464788,44.60431654676259,42165.49646478873
CMP0000016,NPA_RECOVERY,MIXED,v1,747,149,736,314,29608291.65,19.946452476572958,42.66304347826087,39636.26726907631
CMP0000011,NPA_RECOVERY,WHATSAPP,v3,705,145,695,302,29602060.64,20.56737588652482,43.45323741007194,41988.7384964539
CMP0000095,DIGITAL_FOLLOWUP,VOICE,legacy,761,148,752,314,29437826.92,19.44809461235217,41.755319148936174,38683.08399474376
CMP0000056,60DPD_INTENT,WHATSAPP,v1,741,142,731,318,29293973.35,19.163292847503374,43.50205198358413,39533.02746288799
CMP0000101,BOUNCE,MIXED,v3,749,146,738,301,29288421.35,19.492656875834445,40.78590785907859,39103.36628838452
CMP0000030,30DPD_W1,SMS,v2,759,154,755,304,29286429.13,20.28985507246377,40.264900662251655,38585.54562582345
CMP0000023,BOUNCE,VOICE,v2,713,125,703,315,29174259.97,17.53155680224404,44.807965860597434,40917.615666199155
CMP0000062,NPA_RECOVERY,SMS,legacy,732,152,725,312,29112209.12,20.76502732240437,43.03448275862069,39770.7774863388
CMP0000082,DIGITAL_FOLLOWUP,MIXED,v2,730,148,714,304,29044828.09,20.273972602739725,42.57703081232493,39787.435739726025
CMP0000066,60DPD_INTENT,WHATSAPP,v2,727,153,720,302,28189978.56,21.04539202200825,41.94444444444444,38775.76143053645
CMP0000107,DIGITAL_FOLLOWUP,SMS,legacy,696,143,685,294,28087182.47,20.545977011494255,42.91970802919708,40355.14722701149
CMP0000053,DIGITAL_FOLLOWUP,VOICE,v1,740,144,730,299,27983818.669999998,19.45945945945946,40.95890410958904,37815.97117567567
CMP0000028,30DPD_W1,SMS,legacy,764,145,757,291,27561034.71,18.979057591623036,38.44121532364597,36074.652761780104
