disposition_version,disposition_code,attempt_status,row_count
legacy,DISPUTE,"NO_ANSWER, RINGING",38
legacy,DISPUTE,RINGING,120
legacy,DISPUTE,,342
legacy,NO_CONTACT,BUSY,95
legacy,NO_CONTACT,"BUSY, CONNECTED",33
legacy,NO_CONTACT,"BUSY, CONNECTED, FAILED",5
legacy,NO_CONTACT,"BUSY, CONNECTED, FAILED, RINGING",4
legacy,NO_CONTACT,"BUSY, CONNECTED, NO_ANSWER",11
legacy,NO_CONTACT,"BUSY, CONNECTED, NO_ANSWER, RINGING",1
legacy,NO_CONTACT,"BUSY, CONNECTED, RINGING",14
legacy,NO_CONTACT,"BUSY, FAILED",41
legacy,NO_CONTACT,"BUSY, FAILED, NO_ANSWER",10
legacy,NO_CONTACT,"BUSY, FAILED, NO_ANSWER, RINGING",1
legacy,NO_CONTACT,"BUSY, FAILED, RINGING",14
legacy,NO_CONTACT,"BUSY, NO_ANSWER",36
legacy,NO_CONTACT,"BUSY, NO_ANSWER, RINGING",9
legacy,NO_CONTACT,"BUSY, RINGING",34
legacy,NO_CONTACT,CONNECTED,108
legacy,NO_CONTACT,"CONNECTED, FAILED",38
legacy,NO_CONTACT,"CONNECTED, FAILED, NO_ANSWER",8
legacy,NO_CONTACT,"CONNECTED, FAILED, NO_ANSWER, RINGING",3
legacy,NO_CONTACT,"CONNECTED, FAILED, RINGING",6
legacy,NO_CONTACT,"CONNECTED, NO_ANSWER",37
legacy,NO_CONTACT,"CONNECTED, NO_ANSWER, RINGING",13
legacy,NO_CONTACT,"CONNECTED, RINGING",38
legacy,NO_CONTACT,FAILED,107
legacy,NO_CONTACT,"FAILED, NO_ANSWER",31
legacy,NO_CONTACT,"FAILED, NO_ANSWER, RINGING",12
legacy,NO_CONTACT,"FAILED, RINGING",34
legacy,NO_CONTACT,NO_ANSWER,123
legacy,NO_CONTACT,"NO_ANSWER, RINGING",44
legacy,NO_CONTACT,RINGING,119
legacy,NO_CONTACT,,341
legacy,PAID,BUSY,96
legacy,PAID,"BUSY, CONNECTED",31
legacy,PAID,"BUSY, CONNECTED, FAILED",3
legacy,PAID,"BUSY, CONNECTED, FAILED, NO_ANSWER",2
legacy,PAID,"BUSY, CONNECTED, FAILED, NO_ANSWER, RINGING",1
legacy,PAID,"BUSY, CONNECTED, FAILED, RINGING",4
legacy,PAID,"BUSY, CONNECTED, NO_ANSWER",12
legacy,PAID,"BUSY, CONNECTED, NO_ANSWER, RINGING",5
legacy,PAID,"BUSY, CONNECTED, RINGING",7
legacy,PAID,"BUSY, FAILED",24
legacy,PAID,"BUSY, FAILED, NO_ANSWER",10
legacy,PAID,"BUSY, FAILED, NO_ANSWER, RINGING",5
legacy,PAID,"BUSY, FAILED, RINGING",15
legacy,PAID,"BUSY, NO_ANSWER",28
legacy,PAID,"BUSY, NO_ANSWER, RINGING",2
legacy,PAID,"BUSY, RINGING",34
legacy,PAID,CONNECTED,98
legacy,PAID,"CONNECTED, FAILED",26
legacy,PAID,"CONNECTED, FAILED, NO_ANSWER",8
legacy,PAID,"CONNECTED, FAILED, NO_ANSWER, RINGING",3
legacy,PAID,"CONNECTED, FAILED, RINGING",7
legacy,PAID,"CONNECTED, NO_ANSWER",32
legacy,PAID,"CONNECTED, NO_ANSWER, RINGING",9
legacy,PAID,"CONNECTED, RINGING",25
legacy,PAID,FAILED,95
legacy,PAID,"FAILED, NO_ANSWER",31
legacy,PAID,"FAILED, NO_ANSWER, RINGING",6
legacy,PAID,"FAILED, RINGING",34
legacy,PAID,NO_ANSWER,100
legacy,PAID,"NO_ANSWER, RINGING",38
legacy,PAID,RINGING,127
legacy,PAID,,333
legacy,PROMISE_TO_PAY,BUSY,113
legacy,PROMISE_TO_PAY,"BUSY, CONNECTED",38
legacy,PROMISE_TO_PAY,"BUSY, CONNECTED, FAILED",10
legacy,PROMISE_TO_PAY,"BUSY, CONNECTED, FAILED, NO_ANSWER",4
legacy,PROMISE_TO_PAY,"BUSY, CONNECTED, FAILED, NO_ANSWER, RINGING",1
legacy,PROMISE_TO_PAY,"BUSY, CONNECTED, FAILED, RINGING",1
legacy,PROMISE_TO_PAY,"BUSY, CONNECTED, NO_ANSWER",10
legacy,PROMISE_TO_PAY,"BUSY, CONNECTED, NO_ANSWER, RINGING",1
legacy,PROMISE_TO_PAY,"BUSY, CONNECTED, RINGING",10
legacy,PROMISE_TO_PAY,"BUSY, FAILED",29
legacy,PROMISE_TO_PAY,"BUSY, FAILED, NO_ANSWER",10
legacy,PROMISE_TO_PAY,"BUSY, FAILED, NO_ANSWER, RINGING",2
legacy,PROMISE_TO_PAY,"BUSY, FAILED, RINGING",15
legacy,PROMISE_TO_PAY,"BUSY, NO_ANSWER",35
legacy,PROMISE_TO_PAY,"BUSY, NO_ANSWER, RINGING",7
legacy,PROMISE_TO_PAY,"BUSY, RINGING",47
legacy,PROMISE_TO_PAY,CONNECTED,93
legacy,PROMISE_TO_PAY,"CONNECTED, FAILED",34
legacy,PROMISE_TO_PAY,"CONNECTED, FAILED, NO_ANSWER",13
legacy,PROMISE_TO_PAY,"CONNECTED, FAILED, NO_ANSWER, RINGING",3
legacy,PROMISE_TO_PAY,"CONNECTED, FAILED, RINGING",6
legacy,PROMISE_TO_PAY,"CONNECTED, NO_ANSWER",23
legacy,PROMISE_TO_PAY,"CONNECTED, NO_ANSWER, RINGING",13
legacy,PROMISE_TO_PAY,"CONNECTED, RINGING",34
legacy,PROMISE_TO_PAY,FAILED,111
legacy,PROMISE_TO_PAY,"FAILED, NO_ANSWER",32
legacy,PROMISE_TO_PAY,"FAILED, NO_ANSWER, RINGING",15
legacy,PROMISE_TO_PAY,"FAILED, RINGING",27
legacy,PROMISE_TO_PAY,NO_ANSWER,104
legacy,PROMISE_TO_PAY,"NO_ANSWER, RINGING",43
legacy,PROMISE_TO_PAY,RINGING,103
legacy,PROMISE_TO_PAY,,345
legacy,PTP,BUSY,116
legacy,PTP,"BUSY, CONNECTED",30
legacy,PTP,"BUSY, CONNECTED, FAILED",11
legacy,PTP,"BUSY, CONNECTED, FAILED, NO_ANSWER",4
legacy,PTP,"BUSY, CONNECTED, FAILED, RINGING",3
legacy,PTP,"BUSY, CONNECTED, NO_ANSWER",9
legacy,PTP,"BUSY, CONNECTED, NO_ANSWER, RINGING",2
legacy,PTP,"BUSY, CONNECTED, RINGING",10
legacy,PTP,"BUSY, FAILED",31
legacy,PTP,"BUSY, FAILED, NO_ANSWER",10
legacy,PTP,"BUSY, FAILED, NO_ANSWER, RINGING",2
legacy,PTP,"BUSY, FAILED, RINGING",10
legacy,PTP,"BUSY, NO_ANSWER",37
legacy,PTP,"BUSY, NO_ANSWER, RINGING",7
legacy,PTP,"BUSY, RINGING",27
legacy,PTP,CONNECTED,119
legacy,PTP,"CONNECTED, FAILED",33
legacy,PTP,"CONNECTED, FAILED, NO_ANSWER",8
legacy,PTP,"CONNECTED, FAILED, NO_ANSWER, RINGING",2
legacy,PTP,"CONNECTED, FAILED, RINGING",9
legacy,PTP,"CONNECTED, NO_ANSWER",35
legacy,PTP,"CONNECTED, NO_ANSWER, RINGING",6
legacy,PTP,"CONNECTED, RINGING",26
legacy,PTP,FAILED,96
legacy,PTP,"FAILED, NO_ANSWER",29
legacy,PTP,"FAILED, NO_ANSWER, RINGING",6
legacy,PTP,"FAILED, RINGING",25
legacy,PTP,NO_ANSWER,115
legacy,PTP,"NO_ANSWER, RINGING",22
legacy,PTP,RINGING,107
legacy,PTP,,349
legacy,PTP_BROKEN,BUSY,111
legacy,PTP_BROKEN,"BUSY, CONNECTED",31
legacy,PTP_BROKEN,"BUSY, CONNECTED, FAILED",6
legacy,PTP_BROKEN,"BUSY, CONNECTED, FAILED, NO_ANSWER",3
legacy,PTP_BROKEN,"BUSY, CONNECTED, FAILED, NO_ANSWER, RINGING",1
legacy,PTP_BROKEN,"BUSY, CONNECTED, FAILED, RINGING",3
legacy,PTP_BROKEN,"BUSY, CONNECTED, NO_ANSWER",12
legacy,PTP_BROKEN,"BUSY, CONNECTED, NO_ANSWER, RINGING",3
legacy,PTP_BROKEN,"BUSY, CONNECTED, RINGING",9
legacy,PTP_BROKEN,"BUSY, FAILED",35
legacy,PTP_BROKEN,"BUSY, FAILED, NO_ANSWER",11
legacy,PTP_BROKEN,"BUSY, FAILED, NO_ANSWER, RINGING",2
legacy,PTP_BROKEN,"BUSY, FAILED, RINGING",10
legacy,PTP_BROKEN,"BUSY, NO_ANSWER",42
legacy,PTP_BROKEN,"BUSY, NO_ANSWER, RINGING",12
legacy,PTP_BROKEN,"BUSY, RINGING",28
legacy,PTP_BROKEN,CONNECTED,95
legacy,PTP_BROKEN,"CONNECTED, FAILED",24
legacy,PTP_BROKEN,"CONNECTED, FAILED, NO_ANSWER",9
legacy,PTP_BROKEN,"CONNECTED, FAILED, NO_ANSWER, RINGING",2
legacy,PTP_BROKEN,"CONNECTED, FAILED, RINGING",14
legacy,PTP_BROKEN,"CONNECTED, NO_ANSWER",26
legacy,PTP_BROKEN,"CONNECTED, NO_ANSWER, RINGING",13
legacy,PTP_BROKEN,"CONNECTED, RINGING",39
legacy,PTP_BROKEN,FAILED,99
legacy,PTP_BROKEN,"FAILED, NO_ANSWER",29
legacy,PTP_BROKEN,"FAILED, NO_ANSWER, RINGING",11
legacy,PTP_BROKEN,"FAILED, RINGING",23
legacy,PTP_BROKEN,NO_ANSWER,111
legacy,PTP_BROKEN,"NO_ANSWER, RINGING",23
legacy,PTP_BROKEN,RINGING,119
legacy,PTP_BROKEN,,318
legacy,REFUSED,BUSY,88
legacy,REFUSED,"BUSY, CONNECTED",32
legacy,REFUSED,"BUSY, CONNECTED, FAILED",8
legacy,REFUSED,"BUSY, CONNECTED, FAILED, RINGING",2
legacy,REFUSED,"BUSY, CONNECTED, NO_ANSWER",12
legacy,REFUSED,"BUSY, CONNECTED, NO_ANSWER, RINGING",5
legacy,REFUSED,"BUSY, CONNECTED, RINGING",12
legacy,REFUSED,"BUSY, FAILED",35
legacy,REFUSED,"BUSY, FAILED, NO_ANSWER",14
legacy,REFUSED,"BUSY, FAILED, NO_ANSWER, RINGING",2
legacy,REFUSED,"BUSY, FAILED, RINGING",9
legacy,REFUSED,"BUSY, NO_ANSWER",29
legacy,REFUSED,"BUSY, NO_ANSWER, RINGING",10
legacy,REFUSED,"BUSY, RINGING",37
legacy,REFUSED,CONNECTED,97
legacy,REFUSED,"CONNECTED, FAILED",30
legacy,REFUSED,"CONNECTED, FAILED, NO_ANSWER",6
legacy,REFUSED,"CONNECTED, FAILED, NO_ANSWER, RINGING",1
legacy,REFUSED,"CONNECTED, FAILED, RINGING",13
legacy,REFUSED,"CONNECTED, NO_ANSWER",26
legacy,REFUSED,"CONNECTED, NO_ANSWER, RINGING",11
legacy,REFUSED,"CONNECTED, RINGING",28
legacy,REFUSED,FAILED,113
legacy,REFUSED,"FAILED, NO_ANSWER",22
legacy,REFUSED,"FAILED, NO_ANSWER, RINGING",12
legacy,REFUSED,"FAILED, RINGING",27
legacy,REFUSED,NO_ANSWER,112
legacy,REFUSED,"NO_ANSWER, RINGING",26
legacy,REFUSED,RINGING,92
legacy,REFUSED,,325
legacy,WRONG_NUMBER,BUSY,111
legacy,WRONG_NUMBER,"BUSY, CONNECTED",44
legacy,WRONG_NUMBER,"BUSY, CONNECTED, FAILED",10
legacy,WRONG_NUMBER,"BUSY, CONNECTED, FAILED, NO_ANSWER",4
legacy,WRONG_NUMBER,"BUSY, CONNECTED, FAILED, NO_ANSWER, RINGING",2
legacy,WRONG_NUMBER,"BUSY, CONNECTED, FAILED, RINGING",3
legacy,WRONG_NUMBER,"BUSY, CONNECTED, NO_ANSWER",5
legacy,WRONG_NUMBER,"BUSY, CONNECTED, NO_ANSWER, RINGING",2
legacy,WRONG_NUMBER,"BUSY, CONNECTED, RINGING",13
legacy,WRONG_NUMBER,"BUSY, FAILED",37
legacy,WRONG_NUMBER,"BUSY, FAILED, NO_ANSWER",8
legacy,WRONG_NUMBER,"BUSY, FAILED, NO_ANSWER, RINGING",2
legacy,WRONG_NUMBER,"BUSY, FAILED, RINGING",7
legacy,WRONG_NUMBER,"BUSY, NO_ANSWER",37
legacy,WRONG_NUMBER,"BUSY, NO_ANSWER, RINGING",6
legacy,WRONG_NUMBER,"BUSY, RINGING",32
legacy,WRONG_NUMBER,CONNECTED,94
legacy,WRONG_NUMBER,"CONNECTED, FAILED",31
legacy,WRONG_NUMBER,"CONNECTED, FAILED, NO_ANSWER",14
legacy,WRONG_NUMBER,"CONNECTED, FAILED, NO_ANSWER, RINGING",3
legacy,WRONG_NUMBER,"CONNECTED, FAILED, RINGING",15
legacy,WRONG_NUMBER,"CONNECTED, NO_ANSWER",39
legacy,WRONG_NUMBER,"CONNECTED, NO_ANSWER, RINGING",12
legacy,WRONG_NUMBER,"CONNECTED, RINGING",35
legacy,WRONG_NUMBER,FAILED,109
legacy,WRONG_NUMBER,"FAILED, NO_ANSWER",27
legacy,WRONG_NUMBER,"FAILED, NO_ANSWER, RINGING",14
legacy,WRONG_NUMBER,"FAILED, RINGING",42
legacy,WRONG_NUMBER,NO_ANSWER,105
legacy,WRONG_NUMBER,"NO_ANSWER, RINGING",41
legacy,WRONG_NUMBER,RINGING,117
legacy,WRONG_NUMBER,,335
v1,CALLBACK,BUSY,109
v1,CALLBACK,"BUSY, CONNECTED",35
v1,CALLBACK,"BUSY, CONNECTED, FAILED",13
v1,CALLBACK,"BUSY, CONNECTED, FAILED, NO_ANSWER",3
v1,CALLBACK,"BUSY, CONNECTED, FAILED, RINGING",3
v1,CALLBACK,"BUSY, CONNECTED, NO_ANSWER",7
v1,CALLBACK,"BUSY, CONNECTED, NO_ANSWER, RINGING",1
v1,CALLBACK,"BUSY, CONNECTED, RINGING",5
v1,CALLBACK,"BUSY, FAILED",33
v1,CALLBACK,"BUSY, FAILED, NO_ANSWER",10
v1,CALLBACK,"BUSY, FAILED, NO_ANSWER, RINGING",3
v1,CALLBACK,"BUSY, FAILED, RINGING",7
v1,CALLBACK,"BUSY, NO_ANSWER",23
v1,CALLBACK,"BUSY, NO_ANSWER, RINGING",14
v1,CALLBACK,"BUSY, RINGING",42
v1,CALLBACK,CONNECTED,119
v1,CALLBACK,"CONNECTED, FAILED",18
v1,CALLBACK,"CONNECTED, FAILED, NO_ANSWER",5
v1,CALLBACK,"CONNECTED, FAILED, NO_ANSWER, RINGING",3
v1,CALLBACK,"CONNECTED, FAILED, RINGING",12
v1,CALLBACK,"CONNECTED, NO_ANSWER",24
v1,CALLBACK,"CONNECTED, NO_ANSWER, RINGING",5
v1,CALLBACK,"CONNECTED, RINGING",32
v1,CALLBACK,FAILED,112
v1,CALLBACK,"FAILED, NO_ANSWER",33
v1,CALLBACK,"FAILED, NO_ANSWER, RINGING",11
v1,CALLBACK,"FAILED, RINGING",33
v1,CALLBACK,NO_ANSWER,100
v1,CALLBACK,"NO_ANSWER, RINGING",21
v1,CALLBACK,RINGING,100
v1,CALLBACK,,353
v1,DISPUTE,BUSY,104
v1,DISPUTE,"BUSY, CONNECTED",23
v1,DISPUTE,"BUSY, CONNECTED, FAILED",13
v1,DISPUTE,"BUSY, CONNECTED, FAILED, NO_ANSWER",1
v1,DISPUTE,"BUSY, CONNECTED, FAILED, NO_ANSWER, RINGING",1
v1,DISPUTE,"BUSY, CONNECTED, FAILED, RINGING",5
v1,DISPUTE,"BUSY, CONNECTED, NO_ANSWER",7
v1,DISPUTE,"BUSY, CONNECTED, NO_ANSWER, RINGING",6
v1,DISPUTE,"BUSY, CONNECTED, RINGING",5
v1,DISPUTE,"BUSY, FAILED",29
v1,DISPUTE,"BUSY, FAILED, NO_ANSWER",10
v1,DISPUTE,"BUSY, FAILED, NO_ANSWER, RINGING",1
v1,DISPUTE,"BUSY, FAILED, RINGING",6
v1,DISPUTE,"BUSY, NO_ANSWER",38
v1,DISPUTE,"BUSY, NO_ANSWER, RINGING",6
v1,DISPUTE,"BUSY, RINGING",33
v1,DISPUTE,CONNECTED,105
v1,DISPUTE,"CONNECTED, FAILED",34
v1,DISPUTE,"CONNECTED, FAILED, NO_ANSWER",11
v1,DISPUTE,"CONNECTED, FAILED, NO_ANSWER, RINGING",4
v1,DISPUTE,"CONNECTED, FAILED, RINGING",13
v1,DISPUTE,"CONNECTED, NO_ANSWER",22
v1,DISPUTE,"CONNECTED, NO_ANSWER, RINGING",4
v1,DISPUTE,"CONNECTED, RINGING",38
v1,DISPUTE,FAILED,84
v1,DISPUTE,"FAILED, NO_ANSWER",35
v1,DISPUTE,"FAILED, NO_ANSWER, RINGING",6
v1,DISPUTE,"FAILED, RINGING",23
v1,DISPUTE,NO_ANSWER,98
v1,DISPUTE,"NO_ANSWER, RINGING",37
v1,DISPUTE,RINGING,120
v1,DISPUTE,,332
v1,NO_CONTACT,BUSY,111
v1,NO_CONTACT,"BUSY, CONNECTED",36
v1,NO_CONTACT,"BUSY, CONNECTED, FAILED",7
v1,NO_CONTACT,"BUSY, CONNECTED, FAILED, NO_ANSWER",2
v1,NO_CONTACT,"BUSY, CONNECTED, FAILED, NO_ANSWER, RINGING",5
v1,NO_CONTACT,"BUSY, CONNECTED, FAILED, RINGING",6
v1,NO_CONTACT,"BUSY, CONNECTED, NO_ANSWER",14
v1,NO_CONTACT,"BUSY, CONNECTED, NO_ANSWER, RINGING",6
v1,NO_CONTACT,"BUSY, CONNECTED, RINGING",10
v1,NO_CONTACT,"BUSY, FAILED",23
v1,NO_CONTACT,"BUSY, FAILED, NO_ANSWER",11
v1,NO_CONTACT,"BUSY, FAILED, NO_ANSWER, RINGING",2
v1,NO_CONTACT,"BUSY, FAILED, RINGING",2
v1,NO_CONTACT,"BUSY, NO_ANSWER",35
v1,NO_CONTACT,"BUSY, NO_ANSWER, RINGING",8
v1,NO_CONTACT,"BUSY, RINGING",40
v1,NO_CONTACT,CONNECTED,104
v1,NO_CONTACT,"CONNECTED, FAILED",36
v1,NO_CONTACT,"CONNECTED, FAILED, NO_ANSWER",10
v1,NO_CONTACT,"CONNECTED, FAILED, NO_ANSWER, RINGING",1
v1,NO_CONTACT,"CONNECTED, FAILED, RINGING",9
v1,NO_CONTACT,"CONNECTED, NO_ANSWER",31
v1,NO_CONTACT,"CONNECTED, NO_ANSWER, RINGING",7
v1,NO_CONTACT,"CONNECTED, RINGING",26
v1,NO_CONTACT,FAILED,117
v1,NO_CONTACT,"FAILED, NO_ANSWER",27
v1,NO_CONTACT,"FAILED, NO_ANSWER, RINGING",12
v1,NO_CONTACT,"FAILED, RINGING",25
v1,NO_CONTACT,NO_ANSWER,97
v1,NO_CONTACT,"NO_ANSWER, RINGING",38
v1,NO_CONTACT,RINGING,107
v1,NO_CONTACT,,370
v1,PAID,BUSY,109
v1,PAID,"BUSY, CONNECTED",29
v1,PAID,"BUSY, CONNECTED, FAILED",11
v1,PAID,"BUSY, CONNECTED, FAILED, NO_ANSWER",7
v1,PAID,"BUSY, CONNECTED, FAILED, RINGING",1
v1,PAID,"BUSY, CONNECTED, NO_ANSWER",10
v1,PAID,"BUSY, CONNECTED, NO_ANSWER, RINGING",2
v1,PAID,"BUSY, CONNECTED, RINGING",6
v1,PAID,"BUSY, FAILED",21
v1,PAID,"BUSY, FAILED, NO_ANSWER",8
v1,PAID,"BUSY, FAILED, NO_ANSWER, RINGING",3
v1,PAID,"BUSY, FAILED, RINGING",7
v1,PAID,"BUSY, NO_ANSWER",32
v1,PAID,"BUSY, NO_ANSWER, RINGING",10
v1,PAID,"BUSY, RINGING",26
v1,PAID,CONNECTED,112
v1,PAID,"CONNECTED, FAILED",25
v1,PAID,"CONNECTED, FAILED, NO_ANSWER",10
v1,PAID,"CONNECTED, FAILED, NO_ANSWER, RINGING",7
v1,PAID,"CONNECTED, FAILED, RINGING",11
v1,PAID,"CONNECTED, NO_ANSWER",30
v1,PAID,"CONNECTED, NO_ANSWER, RINGING",9
v1,PAID,"CONNECTED, RINGING",28
v1,PAID,FAILED,76
v1,PAID,"FAILED, NO_ANSWER",29
v1,PAID,"FAILED, NO_ANSWER, RINGING",9
v1,PAID,"FAILED, RINGING",36
v1,PAID,NO_ANSWER,93
v1,PAID,"NO_ANSWER, RINGING",36
v1,PAID,RINGING,114
v1,PAID,,341
v1,PROMISE_TO_PAY,BUSY,112
v1,PROMISE_TO_PAY,"BUSY, CONNECTED",26
v1,PROMISE_TO_PAY,"BUSY, CONNECTED, FAILED",6
v1,PROMISE_TO_PAY,"BUSY, CONNECTED, FAILED, NO_ANSWER",3
v1,PROMISE_TO_PAY,"BUSY, CONNECTED, FAILED, NO_ANSWER, RINGING",1
v1,PROMISE_TO_PAY,"BUSY, CONNECTED, FAILED, RINGING",2
v1,PROMISE_TO_PAY,"BUSY, CONNECTED, NO_ANSWER",13
v1,PROMISE_TO_PAY,"BUSY, CONNECTED, NO_ANSWER, RINGING",2
v1,PROMISE_TO_PAY,"BUSY, CONNECTED, RINGING",12
v1,PROMISE_TO_PAY,"BUSY, FAILED",36
v1,PROMISE_TO_PAY,"BUSY, FAILED, NO_ANSWER",11
v1,PROMISE_TO_PAY,"BUSY, FAILED, NO_ANSWER, RINGING",3
v1,PROMISE_TO_PAY,"BUSY, FAILED, RINGING",7
v1,PROMISE_TO_PAY,"BUSY, NO_ANSWER",37
v1,PROMISE_TO_PAY,"BUSY, NO_ANSWER, RINGING",14
v1,PROMISE_TO_PAY,"BUSY, RINGING",29
v1,PROMISE_TO_PAY,CONNECTED,77
v1,PROMISE_TO_PAY,"CONNECTED, FAILED",41
v1,PROMISE_TO_PAY,"CONNECTED, FAILED, NO_ANSWER",13
v1,PROMISE_TO_PAY,"CONNECTED, FAILED, NO_ANSWER, RINGING",3
v1,PROMISE_TO_PAY,"CONNECTED, FAILED, RINGING",12
v1,PROMISE_TO_PAY,"CONNECTED, NO_ANSWER",33
v1,PROMISE_TO_PAY,"CONNECTED, NO_ANSWER, RINGING",11
v1,PROMISE_TO_PAY,"CONNECTED, RINGING",42
v1,PROMISE_TO_PAY,FAILED,126
v1,PROMISE_TO_PAY,"FAILED, NO_ANSWER",27
v1,PROMISE_TO_PAY,"FAILED, NO_ANSWER, RINGING",8
v1,PROMISE_TO_PAY,"FAILED, RINGING",28
v1,PROMISE_TO_PAY,NO_ANSWER,94
v1,PROMISE_TO_PAY,"NO_ANSWER, RINGING",28
v1,PROMISE_TO_PAY,RINGING,109
v1,PROMISE_TO_PAY,,343
v1,PTP,BUSY,101
v1,PTP,"BUSY, CONNECTED",34
v1,PTP,"BUSY, CONNECTED, FAILED",8
v1,PTP,"BUSY, CONNECTED, FAILED, NO_ANSWER",5
v1,PTP,"BUSY, CONNECTED, FAILED, RINGING",5
v1,PTP,"BUSY, CONNECTED, NO_ANSWER",7
v1,PTP,"BUSY, CONNECTED, NO_ANSWER, RINGING",2
v1,PTP,"BUSY, CONNECTED, RINGING",12
v1,PTP,"BUSY, FAILED",31
v1,PTP,"BUSY, FAILED, NO_ANSWER",11
v1,PTP,"BUSY, FAILED, NO_ANSWER, RINGING",4
v1,PTP,"BUSY, FAILED, RINGING",12
v1,PTP,"BUSY, NO_ANSWER",24
v1,PTP,"BUSY, NO_ANSWER, RINGING",12
v1,PTP,"BUSY, RINGING",47
v1,PTP,CONNECTED,104
v1,PTP,"CONNECTED, FAILED",35
v1,PTP,"CONNECTED, FAILED, NO_ANSWER",8
v1,PTP,"CONNECTED, FAILED, NO_ANSWER, RINGING",4
v1,PTP,"CONNECTED, FAILED, RINGING",12
v1,PTP,"CONNECTED, NO_ANSWER",25
v1,PTP,"CONNECTED, NO_ANSWER, RINGING",8
v1,PTP,"CONNECTED, RINGING",33
v1,PTP,FAILED,92
v1,PTP,"FAILED, NO_ANSWER",20
v1,PTP,"FAILED, NO_ANSWER, RINGING",12
v1,PTP,"FAILED, RINGING",40
v1,PTP,NO_ANSWER,117
v1,PTP,"NO_ANSWER, RINGING",35
v1,PTP,RINGING,114
v1,PTP,,311
v1,PTP_BROKEN,BUSY,120
v1,PTP_BROKEN,"BUSY, CONNECTED",26
v1,PTP_BROKEN,"BUSY, CONNECTED, FAILED",16
v1,PTP_BROKEN,"BUSY, CONNECTED, FAILED, NO_ANSWER",3
