campaign_id,campaign_name,channel,strategy_version,calls,unique_accounts,answered_calls,answer_rate_pct
CMP0000049,60DPD_INTENT,VOICE,v1,773,763,132,17.076326002587322
CMP0000050,NPA_RECOVERY,SMS,v1,744,728,148,19.892473118279568
CMP0000051,DIGITAL_FOLLOWUP,WHATSAPP,v1,727,718,156,21.458046767537827
CMP0000052,BOUNCE,SMS,v2,754,747,153,20.291777188328915
CMP0000053,DIGITAL_FOLLOWUP,VOICE,v1,740,730,144,19.45945945945946
CMP0000054,BOUNCE,SMS,v3,761,749,148,19.44809461235217
CMP0000055,BOUNCE,MIXED,v3,756,750,148,19.576719576719576
CMP0000056,60DPD_INTENT,WHATSAPP,v1,741,731,142,19.163292847503374
CMP0000057,30DPD_W1,MIXED,v3,755,743,164,21.721854304635762
CMP0000058,BOUNCE,VOICE,legacy,789,777,172,21.799746514575414
CMP0000059,30DPD_W1,MIXED,legacy,753,743,156,20.717131474103585
CMP0000060,30DPD_W1,SMS,v3,795,785,148,18.61635220125786
CMP0000061,30DPD_W1,WHATSAPP,v3,766,753,158,20.626631853785902
CMP0000062,NPA_RECOVERY,SMS,legacy,732,725,152,20.76502732240437
CMP0000063,BOUNCE,WHATSAPP,v1,736,725,146,19.83695652173913
CMP0000064,60DPD_INTENT,FIELD,v2,764,748,168,21.98952879581152
CMP0000065,30DPD_W1,WHATSAPP,v3,775,764,176,22.70967741935484
CMP0000066,60DPD_INTENT,WHATSAPP,v2,727,720,153,21.04539202200825
CMP0000067,30DPD_W1,MIXED,v2,735,728,157,21.360544217687075
CMP0000068,NPA_RECOVERY,VOICE,v1,744,736,151,20.29569892473118
CMP0000069,BOUNCE,SMS,v3,736,725,133,18.070652173913043
CMP0000070,60DPD_INTENT,WHATSAPP,v1,766,758,151,19.712793733681462
CMP0000071,30DPD_W1,MIXED,v3,715,707,144,20.13986013986014
CMP0000072,30DPD_W1,WHATSAPP,v2,790,777,154,19.49367088607595
CMP0000073,60DPD_INTENT,SMS,v2,727,712,144,19.80742778541953
CMP0000074,BOUNCE,MIXED,legacy,742,735,135,18.194070080862534
CMP0000075,30DPD_W1,WHATSAPP,v3,741,730,159,21.45748987854251
CMP0000076,DIGITAL_FOLLOWUP,VOICE,v3,725,713,141,19.448275862068964
CMP0000077,BOUNCE,FIELD,v1,722,714,134,18.559556786703602
CMP0000078,60DPD_INTENT,SMS,v2,696,690,134,19.25287356321839
CMP0000079,NPA_RECOVERY,MIXED,legacy,804,793,167,20.771144278606965
CMP0000080,NPA_RECOVERY,WHATSAPP,legacy,760,751,143,18.815789473684212
CMP0000081,DIGITAL_FOLLOWUP,WHATSAPP,legacy,760,751,154,20.263157894736842
CMP0000082,DIGITAL_FOLLOWUP,MIXED,v2,730,714,148,20.273972602739725
CMP0000083,BOUNCE,WHATSAPP,v2,783,772,161,20.561941251596423
CMP0000084,BOUNCE,FIELD,legacy,743,739,132,17.765814266487215
CMP0000085,60DPD_INTENT,MIXED,legacy,739,731,148,20.027063599458728
CMP0000086,DIGITAL_FOLLOWUP,SMS,v3,788,778,157,19.923857868020303
CMP0000087,60DPD_INTENT,SMS,legacy,728,717,159,21.84065934065934
CMP0000088,30DPD_W1,MIXED,v1,704,700,136,19.318181818181817
CMP0000089,DIGITAL_FOLLOWUP,WHATSAPP,legacy,754,743,160,21.220159151193634
CMP0000090,30DPD_W1,FIELD,v2,741,731,145,19.568151147098515
CMP0000091,DIGITAL_FOLLOWUP,VOICE,v3,738,731,155,21.00271002710027
CMP0000092,NPA_RECOVERY,SMS,v3,807,796,156,19.33085501858736
CMP0000093,60DPD_INTENT,SMS,legacy,747,733,161,21.5528781793842
CMP0000094,60DPD_INTENT,WHATSAPP,v3,744,735,156,20.967741935483872
CMP0000095,DIGITAL_FOLLOWUP,VOICE,legacy,761,752,148,19.44809461235217
CMP0000096,DIGITAL_FOLLOWUP,WHATSAPP,legacy,778,768,152,19.53727506426735
CMP0000097,NPA_RECOVERY,MIXED,v2,742,730,147,19.81132075471698
CMP0000098,DIGITAL_FOLLOWUP,WHATSAPP,legacy,773,768,156,20.18111254851229
CMP0000099,BOUNCE,WHATSAPP,legacy,735,727,146,19.86394557823129
CMP0000100,BOUNCE,WHATSAPP,v3,792,785,148,18.68686868686869
CMP0000101,BOUNCE,MIXED,v3,749,738,146,19.492656875834445
CMP0000102,NPA_RECOVERY,VOICE,legacy,729,711,145,19.89026063100137
CMP0000103,NPA_RECOVERY,WHATSAPP,legacy,797,789,134,16.813048933500628
CMP0000104,30DPD_W1,FIELD,legacy,757,747,145,19.154557463672393
CMP0000105,BOUNCE,FIELD,v2,753,743,162,21.51394422310757
CMP0000106,NPA_RECOVERY,SMS,v3,778,769,149,19.151670951156813
CMP0000107,DIGITAL_FOLLOWUP,SMS,legacy,696,685,143,20.545977011494255
CMP0000108,NPA_RECOVERY,VOICE,v3,710,695,136,19.154929577464788
CMP0000109,NPA_RECOVERY,MIXED,v1,742,738,146,19.67654986522911
CMP0000110,DIGITAL_FOLLOWUP,VOICE,v2,743,736,137,18.438761776581426
CMP0000111,30DPD_W1,FIELD,v1,747,734,156,20.883534136546185
CMP0000112,60DPD_INTENT,MIXED,v3,784,776,171,21.81122448979592
CMP0000113,30DPD_W1,WHATSAPP,legacy,711,705,140,19.69057665260197
CMP0000114,60DPD_INTENT,SMS,legacy,822,805,163,19.829683698296837
CMP0000115,BOUNCE,FIELD,v2,770,751,168,21.818181818181817
CMP0000116,DIGITAL_FOLLOWUP,VOICE,v1,816,804,162,19.852941176470587
CMP0000117,BOUNCE,VOICE,v3,753,744,139,18.459495351925632
CMP0000118,30DPD_W1,FIELD,v3,732,722,149,20.3551912568306
CMP0000119,30DPD_W1,SMS,v2,760,755,142,18.684210526315788
CMP0000120,NPA_RECOVERY,SMS,v3,701,689,144,20.542082738944366
